"RecordNumber"	"SerialNumber"	"StationNames"	"Date"	"FishCode"	"Time"	"Net"	"Fish ID'd in Field?"	"IDBy"	"RawCatchCount"	"NumberOfGridsSorted"	"AdjustedLabCount"	"IDDate"	"Comments"
37	"NA"	"NB-120"	1/11/2015 0:00:00	"LONMUD"	12/30/1899 13:30:00	"SLS"	0		1	35.00	1.00		
37	"NA"	"NB-120"	1/11/2015 0:00:00	"LONSME"	12/30/1899 13:30:00	"SLS"	0		2	35.00	2.00		
37	"NA"	"NB-120"	1/11/2015 0:00:00	"PACHER"	12/30/1899 13:30:00	"SLS"	0		14	35.00	14.00		
37	"NA"	"NB-120"	1/11/2015 0:00:00	"PRISCU"	12/30/1899 13:30:00	"SLS"	0		113	35.00	113.00		
37	"NA"	"NB-120"	1/11/2015 0:00:00	"YELGOB"	12/30/1899 13:30:00	"SLS"	0		3	35.00	3.00		
38	"NA"	"NB-720"	1/22/2015 0:00:00	"PACHER"	12/30/1899 8:52:00	"SLS"	0		13	35.00	13.00		
38	"NA"	"NB-720"	1/22/2015 0:00:00	"PRISCU"	12/30/1899 8:52:00	"SLS"	0		8	35.00	8.00		
38	"NA"	"NB-720"	1/22/2015 0:00:00	"YELGOB"	12/30/1899 8:52:00	"SLS"	0		16	35.00	16.00		
39	"NA"	"NB-879"	1/22/2015 0:00:00	"LONMUD"	12/30/1899 10:25:00	"SLS"	0		2	35.00	2.00		
39	"NA"	"NB-879"	1/22/2015 0:00:00	"PACHER"	12/30/1899 10:25:00	"SLS"	0		42	35.00	42.00		
39	"NA"	"NB-879"	1/22/2015 0:00:00	"PRISCU"	12/30/1899 10:25:00	"SLS"	0		1	35.00	1.00		
39	"NA"	"NB-879"	1/22/2015 0:00:00	"YELGOB"	12/30/1899 10:25:00	"SLS"	0		33	35.00	33.00		
40	"NA"	"NB-800"	1/22/2015 0:00:00	"LONSME"	12/30/1899 11:17:00	"SLS"	0		2	17.50	4.00		
40	"NA"	"NB-800"	1/22/2015 0:00:00	"PACHER"	12/30/1899 11:17:00	"SLS"	0		253	17.50	506.00		
40	"NA"	"NB-800"	1/22/2015 0:00:00	"YELGOB"	12/30/1899 11:17:00	"SLS"	0		15	17.50	30.00		
41	"NA"	"NB-750"	1/22/2015 0:00:00	"LONMUD"	12/30/1899 12:00:00	"SLS"	0		1	35.00	1.00		
41	"NA"	"NB-750"	1/22/2015 0:00:00	"LONSME"	12/30/1899 12:00:00	"SLS"	0		2	35.00	2.00		
41	"NA"	"NB-750"	1/22/2015 0:00:00	"PACHER"	12/30/1899 12:00:00	"SLS"	0		336	35.00	336.00		
41	"NA"	"NB-750"	1/22/2015 0:00:00	"PRISCU"	12/30/1899 12:00:00	"SLS"	0		2	35.00	2.00		
41	"NA"	"NB-750"	1/22/2015 0:00:00	"YELGOB"	12/30/1899 12:00:00	"SLS"	0		46	35.00	46.00		
42	"NA"	"SB-500"	1/24/2015 0:00:00	"LONMUD"	12/30/1899 8:23:00	"SLS"	0		1	2.18	16.00		
42	"NA"	"SB-500"	1/24/2015 0:00:00	"PACSSC"	12/30/1899 8:23:00	"SLS"	0		1	2.18	16.00		
42	"NA"	"SB-500"	1/24/2015 0:00:00	"YELGOB"	12/30/1899 8:23:00	"SLS"	0		463	2.18	7408.00		
43	"NA"	"SB-540"	1/24/2015 0:00:00	"LONMUD"	12/30/1899 9:22:00	"SLS"	0		2	8.75	8.00		
43	"NA"	"SB-540"	1/24/2015 0:00:00	"PACHER"	12/30/1899 9:22:00	"SLS"	0		2	8.75	8.00		
43	"NA"	"SB-540"	1/24/2015 0:00:00	"PACSSC"	12/30/1899 9:22:00	"SLS"	0		3	8.75	12.00		
43	"NA"	"SB-540"	1/24/2015 0:00:00	"UNID GOBY"	12/30/1899 9:22:00	"SLS"	0		1	8.75	4.00		
43	"NA"	"SB-540"	1/24/2015 0:00:00	"YELGOB"	12/30/1899 9:22:00	"SLS"	0		192	8.75	768.00		
46	"NA"	"SB-150"	1/24/2015 0:00:00	"LONMUD"	12/30/1899 11:52:00	"SLS"	0		22	8.75	88.00		
46	"NA"	"SB-150"	1/24/2015 0:00:00	"NORANC"	12/30/1899 11:52:00	"SLS"	0		3	8.75	12.00		
46	"NA"	"SB-150"	1/24/2015 0:00:00	"PACHER"	12/30/1899 11:52:00	"SLS"	0		2	8.75	8.00		
46	"NA"	"SB-150"	1/24/2015 0:00:00	"PACSSC"	12/30/1899 11:52:00	"SLS"	0		2	8.75	8.00		
46	"NA"	"SB-150"	1/24/2015 0:00:00	"PRISCU"	12/30/1899 11:52:00	"SLS"	0		2	8.75	8.00		
46	"NA"	"SB-150"	1/24/2015 0:00:00	"UNID GOBY"	12/30/1899 11:52:00	"SLS"	0		30	8.75	120.00		
46	"NA"	"SB-150"	1/24/2015 0:00:00	"YELGOB"	12/30/1899 11:52:00	"SLS"	0		233	8.75	932.00		
53	"NA"	"SB-400"	1/25/2015 0:00:00	"ARRGOB"	12/30/1899 9:02:00	"SLS"	0		8	8.75	32.00		
53	"NA"	"SB-400"	1/25/2015 0:00:00	"LONMUD"	12/30/1899 9:02:00	"SLS"	0		4	8.75	16.00		
53	"NA"	"SB-400"	1/25/2015 0:00:00	"PACSSC"	12/30/1899 9:02:00	"SLS"	0		4	8.75	16.00		
53	"NA"	"SB-400"	1/25/2015 0:00:00	"PRISCU"	12/30/1899 9:02:00	"SLS"	0		7	8.75	28.00		
53	"NA"	"SB-400"	1/25/2015 0:00:00	"YELGOB"	12/30/1899 9:02:00	"SLS"	0		363	8.75	1452.00		
54	"NA"	"SB-410"	1/25/2015 0:00:00	"ARRGOB"	12/30/1899 9:33:00	"SLS"	0		27	35.00	27.00		
54	"NA"	"SB-410"	1/25/2015 0:00:00	"LONMUD"	12/30/1899 9:33:00	"SLS"	0		60	35.00	60.00		
54	"NA"	"SB-410"	1/25/2015 0:00:00	"PACHER"	12/30/1899 9:33:00	"SLS"	0		4	35.00	4.00		
54	"NA"	"SB-410"	1/25/2015 0:00:00	"PACSSC"	12/30/1899 9:33:00	"SLS"	0		12	35.00	12.00		
54	"NA"	"SB-410"	1/25/2015 0:00:00	"PRISCU"	12/30/1899 9:33:00	"SLS"	0		28	35.00	28.00		
54	"NA"	"SB-410"	1/25/2015 0:00:00	"YELGOB"	12/30/1899 9:33:00	"SLS"	0		1797	35.00	1797.00		
55	"NA"	"SB-420"	1/25/2015 0:00:00	"ARRGOB"	12/30/1899 10:27:00	"SLS"	0		6	8.75	24.00		
55	"NA"	"SB-420"	1/25/2015 0:00:00	"LONMUD"	12/30/1899 10:27:00	"SLS"	0		9	8.75	36.00		
55	"NA"	"SB-420"	1/25/2015 0:00:00	"PACSSC"	12/30/1899 10:27:00	"SLS"	0		1	8.75	4.00		
55	"NA"	"SB-420"	1/25/2015 0:00:00	"PRISCU"	12/30/1899 10:27:00	"SLS"	0		2	8.75	8.00		
55	"NA"	"SB-420"	1/25/2015 0:00:00	"YELGOB"	12/30/1899 10:27:00	"SLS"	0		317	8.75	1268.00		
58	"NA"	"SB-120"	1/25/2015 0:00:00	"LONMUD"	12/30/1899 12:38:00	"SLS"	0		10	35.00	10.00		
58	"NA"	"SB-120"	1/25/2015 0:00:00	"PACHER"	12/30/1899 12:38:00	"SLS"	0		1	35.00	1.00		
58	"NA"	"SB-120"	1/25/2015 0:00:00	"PACSSC"	12/30/1899 12:38:00	"SLS"	0		1	35.00	1.00		
58	"NA"	"SB-120"	1/25/2015 0:00:00	"PRISCU"	12/30/1899 12:38:00	"SLS"	0		21	35.00	21.00		
58	"NA"	"SB-120"	1/25/2015 0:00:00	"UNID GOBY"	12/30/1899 12:38:00	"SLS"	0		21	35.00	21.00		
58	"NA"	"SB-120"	1/25/2015 0:00:00	"YELGOB"	12/30/1899 12:38:00	"SLS"	0		240	35.00	240.00		
61	"NA"	"NB-570"	1/26/2015 0:00:00	"PACHER"	12/30/1899 9:18:00	"SLS"	0		134	8.75	536.00		
61	"NA"	"NB-570"	1/26/2015 0:00:00	"PRISCU"	12/30/1899 9:18:00	"SLS"	0		76	8.75	304.00		
61	"NA"	"NB-570"	1/26/2015 0:00:00	"YELGOB"	12/30/1899 9:18:00	"SLS"	0		50	8.75	200.00		
62	"NA"	"NB-540"	1/26/2015 0:00:00	"PACHER"	12/30/1899 9:42:00	"SLS"	0		21	17.50	42.00		
62	"NA"	"NB-540"	1/26/2015 0:00:00	"PRISCU"	12/30/1899 9:42:00	"SLS"	0		222	17.50	444.00		
62	"NA"	"NB-540"	1/26/2015 0:00:00	"YELGOB"	12/30/1899 9:42:00	"SLS"	0		26	17.50	52.00		
63	"NA"	"NB-289"	1/26/2015 0:00:00	"LONMUD"	12/30/1899 10:16:00	"SLS"	0		1	8.75	4.00		
63	"NA"	"NB-289"	1/26/2015 0:00:00	"PACHER"	12/30/1899 10:16:00	"SLS"	0		336	8.75	1344.00		
63	"NA"	"NB-289"	1/26/2015 0:00:00	"PRISCU"	12/30/1899 10:16:00	"SLS"	0		238	8.75	952.00		
63	"NA"	"NB-289"	1/26/2015 0:00:00	"YELGOB"	12/30/1899 10:16:00	"SLS"	0		132	8.75	528.00		
64	"NA"	"NB-287"	1/26/2015 0:00:00	"PACHER"	12/30/1899 10:32:00	"SLS"	0		242	8.75	968.00		
64	"NA"	"NB-287"	1/26/2015 0:00:00	"PACSSC"	12/30/1899 10:32:00	"SLS"	0		1	8.75	4.00		
64	"NA"	"NB-287"	1/26/2015 0:00:00	"PRISCU"	12/30/1899 10:32:00	"SLS"	0		21	8.75	84.00		
64	"NA"	"NB-287"	1/26/2015 0:00:00	"YELGOB"	12/30/1899 10:32:00	"SLS"	0		106	8.75	424.00		
65	"NA"	"NB-285"	1/26/2015 0:00:00	"LONMUD"	12/30/1899 10:55:00	"SLS"	0		1	35.00	1.00		
65	"NA"	"NB-285"	1/26/2015 0:00:00	"NORANC"	12/30/1899 10:55:00	"SLS"	0		2	35.00	2.00		
65	"NA"	"NB-285"	1/26/2015 0:00:00	"PACHER"	12/30/1899 10:55:00	"SLS"	0		153	35.00	153.00		
65	"NA"	"NB-285"	1/26/2015 0:00:00	"PACSSC"	12/30/1899 10:55:00	"SLS"	0		1	35.00	1.00		
65	"NA"	"NB-285"	1/26/2015 0:00:00	"PRISCU"	12/30/1899 10:55:00	"SLS"	0		6	35.00	6.00		
65	"NA"	"NB-285"	1/26/2015 0:00:00	"YELGOB"	12/30/1899 10:55:00	"SLS"	0		82	35.00	82.00		
66	"NA"	"NB-252"	1/26/2015 0:00:00	"MISSIL"	12/30/1899 11:40:00	"SLS"	0		1	35.00	1.00		
66	"NA"	"NB-252"	1/26/2015 0:00:00	"NORANC"	12/30/1899 11:40:00	"SLS"	0		5	35.00	5.00		
66	"NA"	"NB-252"	1/26/2015 0:00:00	"PACHER"	12/30/1899 11:40:00	"SLS"	0		534	35.00	534.00		
66	"NA"	"NB-252"	1/26/2015 0:00:00	"PRISCU"	12/30/1899 11:40:00	"SLS"	0		23	35.00	23.00		
66	"NA"	"NB-252"	1/26/2015 0:00:00	"UNID LARVAL"	12/30/1899 11:40:00	"SLS"	0		8	35.00	8.00		
66	"NA"	"NB-252"	1/26/2015 0:00:00	"YELGOB"	12/30/1899 11:40:00	"SLS"	0		68	35.00	68.00		
67	"NA"	"NB-220"	1/26/2015 0:00:00	"NORANC"	12/30/1899 11:59:00	"SLS"	0		1	35.00	1.00		
67	"NA"	"NB-220"	1/26/2015 0:00:00	"PACHER"	12/30/1899 11:59:00	"SLS"	0		839	35.00	839.00		
67	"NA"	"NB-220"	1/26/2015 0:00:00	"PRISCU"	12/30/1899 11:59:00	"SLS"	0		30	35.00	30.00		
67	"NA"	"NB-220"	1/26/2015 0:00:00	"YELGOB"	12/30/1899 11:59:00	"SLS"	0		47	35.00	47.00		
68	"NA"	"NB-212"	1/26/2015 0:00:00	"MISSIL"	12/30/1899 12:21:00	"SLS"	0		1	35.00	1.00		
68	"NA"	"NB-212"	1/26/2015 0:00:00	"PACHER"	12/30/1899 12:21:00	"SLS"	0		56	35.00	56.00		
68	"NA"	"NB-212"	1/26/2015 0:00:00	"PRISCU"	12/30/1899 12:21:00	"SLS"	0		10	35.00	10.00		
68	"NA"	"NB-212"	1/26/2015 0:00:00	"THRSTI"	12/30/1899 12:21:00	"SLS"	0		1	35.00	1.00		
68	"NA"	"NB-212"	1/26/2015 0:00:00	"YELGOB"	12/30/1899 12:21:00	"SLS"	0		6	35.00	6.00		
69	"NA"	"NB-100"	2/4/2015 0:00:00	"PACHER"	12/30/1899 8:06:00	"SLS"	0		39	35.00	39.00		
69	"NA"	"NB-100"	2/4/2015 0:00:00	"PRISCU"	12/30/1899 8:06:00	"SLS"	0		222	35.00	222.00		
70	"NA"	"NB-120"	2/4/2015 0:00:00	"LONMUD"	12/30/1899 9:04:00	"SLS"	0		2	35.00	2.00		
70	"NA"	"NB-120"	2/4/2015 0:00:00	"LONSME"	12/30/1899 9:04:00	"SLS"	0		2	35.00	2.00		
70	"NA"	"NB-120"	2/4/2015 0:00:00	"PACHER"	12/30/1899 9:04:00	"SLS"	0		639	35.00	639.00		
70	"NA"	"NB-120"	2/4/2015 0:00:00	"PRISCU"	12/30/1899 9:04:00	"SLS"	0		190	35.00	190.00		
70	"NA"	"NB-120"	2/4/2015 0:00:00	"YELGOB"	12/30/1899 9:04:00	"SLS"	0		28	35.00	28.00		
71	"NA"	"NB-140"	2/4/2015 0:00:00	"LONMUD"	12/30/1899 9:43:00	"SLS"	0		2	35.00	2.00		
71	"NA"	"NB-140"	2/4/2015 0:00:00	"LONSME"	12/30/1899 9:43:00	"SLS"	0		1	35.00	1.00		
71	"NA"	"NB-140"	2/4/2015 0:00:00	"PACHER"	12/30/1899 9:43:00	"SLS"	0		512	35.00	512.00		
71	"NA"	"NB-140"	2/4/2015 0:00:00	"PRISCU"	12/30/1899 9:43:00	"SLS"	0		135	35.00	135.00		
71	"NA"	"NB-140"	2/4/2015 0:00:00	"YELGOB"	12/30/1899 9:43:00	"SLS"	0		13	35.00	13.00		
72	"NA"	"NB-170"	2/4/2015 0:00:00	"LONSME"	12/30/1899 10:30:00	"SLS"	0		1	35.00	1.00		
72	"NA"	"NB-170"	2/4/2015 0:00:00	"PACHER"	12/30/1899 10:30:00	"SLS"	0		351	35.00	351.00		
72	"NA"	"NB-170"	2/4/2015 0:00:00	"PRISCU"	12/30/1899 10:30:00	"SLS"	0		38	35.00	38.00		
72	"NA"	"NB-170"	2/4/2015 0:00:00	"YELGOB"	12/30/1899 10:30:00	"SLS"	0		7	35.00	7.00		
75	"NA"	"NB-500"	2/4/2015 0:00:00	"PACHER"	12/30/1899 12:58:00	"SLS"	0		45	2.18	720.00		
75	"NA"	"NB-500"	2/4/2015 0:00:00	"PRISCU"	12/30/1899 12:58:00	"SLS"	0		262	2.18	4192.00		
75	"NA"	"NB-500"	2/4/2015 0:00:00	"YELGOB"	12/30/1899 12:58:00	"SLS"	0		17	2.18	272.00		
76	"NA"	"NB-520"	2/4/2015 0:00:00	"LONSME"	12/30/1899 13:58:00	"SLS"	0		1	35.00	1.00		
76	"NA"	"NB-520"	2/4/2015 0:00:00	"PACHER"	12/30/1899 13:58:00	"SLS"	0		56	35.00	56.00		
76	"NA"	"NB-520"	2/4/2015 0:00:00	"PRISCU"	12/30/1899 13:58:00	"SLS"	0		107	35.00	107.00		
76	"NA"	"NB-520"	2/4/2015 0:00:00	"UNID LARVAL"	12/30/1899 13:58:00	"SLS"	0		10	35.00	10.00		
76	"NA"	"NB-520"	2/4/2015 0:00:00	"YELGOB"	12/30/1899 13:58:00	"SLS"	0		101	35.00	101.00		
77	"NA"	"NB-530"	2/4/2015 0:00:00	"PACHER"	12/30/1899 14:35:00	"SLS"	0		76	35.00	76.00		
77	"NA"	"NB-530"	2/4/2015 0:00:00	"PRISCU"	12/30/1899 14:35:00	"SLS"	0		124	35.00	124.00		
77	"NA"	"NB-530"	2/4/2015 0:00:00	"YELGOB"	12/30/1899 14:35:00	"SLS"	0		153	35.00	153.00		
78	"NA"	"NB-560"	2/4/2015 0:00:00	"LONSME"	12/30/1899 15:15:00	"SLS"	0		2	35.00	2.00		
78	"NA"	"NB-560"	2/4/2015 0:00:00	"PACHER"	12/30/1899 15:15:00	"SLS"	0		2876	35.00	2876.00		
78	"NA"	"NB-560"	2/4/2015 0:00:00	"PRISCU"	12/30/1899 15:15:00	"SLS"	0		144	35.00	144.00		
78	"NA"	"NB-560"	2/4/2015 0:00:00	"YELGOB"	12/30/1899 15:15:00	"SLS"	0		168	35.00	168.00		
79	"NA"	"NB-700"	2/5/2015 0:00:00	"LONSME"	12/30/1899 8:09:00	"SLS"	0		2	35.00	2.00		
79	"NA"	"NB-700"	2/5/2015 0:00:00	"PACHER"	12/30/1899 8:09:00	"SLS"	0		127	35.00	127.00		
