"RecordNumber"	"StationNames"	"Date"	"Time"	"Replicate"	"CableAngle"	"TowDuration"	"AvgTrawlDepth"	"Latitude"	"Longitude"	"TrackNote"
29	"NB-800"	1/9/2015 0:00:00	12/30/1899 13:15:00	"1"		12/30/1899 10:00:00	11.10	"38.194433"	"-122.547383"	
30	"NB-879"	1/9/2015 0:00:00	12/30/1899 14:19:00	"1"		12/30/1899 10:00:00	13.65	"38.17405"	"-122.563967"	
31	"NB-770"	1/9/2015 0:00:00	12/30/1899 15:30:00	"1"		12/30/1899 10:00:00	10.70	"38.203667"	"-122.568217"	
32	"NB-212"	1/11/2015 0:00:00	12/30/1899 9:45:00	"1"		12/30/1899 10:00:00	5.05	"38.218067"	"-122.300017"	
33	"NB-220"	1/11/2015 0:00:00	12/30/1899 10:10:00	"1"	30	12/30/1899 10:00:00	15.80	"38.213267"	"-122.30895"	
34	"NB-271"	1/11/2015 0:00:00	12/30/1899 10:46:00	"1"	20	12/30/1899 10:00:00	7.10	"38.191867"	"-122.315833"	
35	"NB-283"	1/11/2015 0:00:00	12/30/1899 11:34:00	"1"		12/30/1899 10:00:00	16.30	"38.186833"	"-122.326417"	
36	"NB-283"	1/11/2015 0:00:00	12/30/1899 12:02:00	"1"		12/30/1899 10:00:00	8.12	"38.1897"	"-122.3287"	
37	"NB-120"	1/11/2015 0:00:00	12/30/1899 13:30:00	"1"		12/30/1899 10:00:00	19.30	"38.27605"	"-122.282367"	
38	"NB-720"	1/22/2015 0:00:00	12/30/1899 8:52:00	"1"		12/30/1899 10:00:00	8.52			
39	"NB-879"	1/22/2015 0:00:00	12/30/1899 10:25:00	"1"		12/30/1899 10:00:00	7.30			
40	"NB-800"	1/22/2015 0:00:00	12/30/1899 11:17:00	"1"		12/30/1899 10:00:00	9.00			
41	"NB-750"	1/22/2015 0:00:00	12/30/1899 12:00:00	"1"		12/30/1899 10:00:00	14.80			
42	"SB-500"	1/24/2015 0:00:00	12/30/1899 8:23:00	"1"		12/30/1899 10:00:00	5.86	"37.42966"	"-121.98306"	
43	"SB-540"	1/24/2015 0:00:00	12/30/1899 9:22:00	"1"		12/30/1899 10:00:00	7.53	"37.44714"	"-122.01925"	
46	"SB-150"	1/24/2015 0:00:00	12/30/1899 11:52:00	"1"		12/30/1899 10:00:00	6.00	"37.46041"	"-121.98019"	
53	"SB-400"	1/25/2015 0:00:00	12/30/1899 9:02:00	"1"		12/30/1899 10:00:00	7.55	"37.44174"	"-121.95965"	
54	"SB-410"	1/25/2015 0:00:00	12/30/1899 9:33:00	"1"		12/30/1899 10:00:00	7.10	"37.45264"	"-121.96597"	
55	"SB-420"	1/25/2015 0:00:00	12/30/1899 10:27:00	"1"		12/30/1899 10:00:00	6.40	"37.4592"	"-121.96461"	
58	"SB-120"	1/25/2015 0:00:00	12/30/1899 12:38:00	"1"		12/30/1899 10:00:00	4.13	"37.46411"	"-121.9462"	
61	"NB-570"	1/26/2015 0:00:00	12/30/1899 9:18:00	"1"		12/30/1899 10:00:00	8.15	"38.19847"	"-122.39343"	
62	"NB-540"	1/26/2015 0:00:00	12/30/1899 9:42:00	"1"		12/30/1899 10:00:00	7.50	"38.21461"	"-122.428"	
63	"NB-289"	1/26/2015 0:00:00	12/30/1899 10:16:00	"1"		12/30/1899 10:00:00	7.33	"38.19575"	"-122.35412"	
64	"NB-287"	1/26/2015 0:00:00	12/30/1899 10:32:00	"1"		12/30/1899 10:00:00	7.16	"38.19139"	"-122.34964"	
65	"NB-285"	1/26/2015 0:00:00	12/30/1899 10:55:00	"1"		12/30/1899 10:00:00	19.40	"38.19145"	"-122.33683"	
66	"NB-252"	1/26/2015 0:00:00	12/30/1899 11:40:00	"1"		12/30/1899 10:00:00	9.00	"38.21467"	"-122.30548"	
67	"NB-220"	1/26/2015 0:00:00	12/30/1899 11:59:00	"1"		12/30/1899 10:00:00	14.20	"38.21337"	"-122.30869"	
68	"NB-212"	1/26/2015 0:00:00	12/30/1899 12:21:00	"1"		12/30/1899 10:00:00	3.80	"38.21909"	"-122.30833"	
69	"NB-100"	2/4/2015 0:00:00	12/30/1899 8:06:00	"1"	30	12/30/1899 10:00:00	10.40	"38.29662"	"-122.28218"	
70	"NB-120"	2/4/2015 0:00:00	12/30/1899 9:04:00	"1"	29	12/30/1899 10:00:00	12.40	"38.281984"	"-122.285269"	
71	"NB-140"	2/4/2015 0:00:00	12/30/1899 9:43:00	"1"	21	12/30/1899 10:00:00	14.25	"38.26511"	"-122.28463"	
72	"NB-170"	2/4/2015 0:00:00	12/30/1899 10:30:00	"1"	25	12/30/1899 10:00:00	21.00	"38.24458"	"-122.28541"	
75	"NB-500"	2/4/2015 0:00:00	12/30/1899 12:58:00	"1"	13	12/30/1899 10:00:00	6.60	"38.22673"	"-122.42853"	
76	"NB-520"	2/4/2015 0:00:00	12/30/1899 13:58:00	"1"	31	12/30/1899 10:00:00	8.63	"38.22702"	"-122.41964"	
77	"NB-530"	2/4/2015 0:00:00	12/30/1899 14:35:00	"1"	39	12/30/1899 10:00:00	12.35	"38.21669"	"-122.42747"	
78	"NB-560"	2/4/2015 0:00:00	12/30/1899 15:15:00	"1"	19	12/30/1899 10:00:00	13.90	"38.20691"	"-122.4046"	
79	"NB-700"	2/5/2015 0:00:00	12/30/1899 8:09:00	"1"	25	12/30/1899 10:00:00	7.80	"38.23415"	"-122.63434"	
80	"NB-720"	2/5/2015 0:00:00	12/30/1899 8:54:00	"1"	20	12/30/1899 10:00:00	12.20	"38.22812"	"-122.61326"	
81	"NB-760"	2/5/2015 0:00:00	12/30/1899 9:43:00	"1"	16	12/30/1899 10:00:00	14.75	"38.20907"	"-122.58345"	
82	"NB-780"	2/5/2015 0:00:00	12/30/1899 10:26:00	"1"	20	12/30/1899 10:00:00	18.80	"38.19963"	"-122.56527"	
85	"SB-400"	2/7/2015 0:00:00	12/30/1899 9:10:00	"1"	20	12/30/1899 10:00:00	5.20	"37.44184"	"-121.95965"	
86	"SB-410"	2/7/2015 0:00:00	12/30/1899 10:00:00	"1"	20	12/30/1899 10:00:00	6.35	"37.44822"	"-121.96689"	
87	"SB-420"	2/7/2015 0:00:00	12/30/1899 10:39:00	"1"	25	12/30/1899 10:00:00	9.80	"37.4592"	"-121.96461"	
88	"SB-420"	2/7/2015 0:00:00	12/30/1899 11:17:00	"1"	32	12/30/1899 10:00:00	8.52			
89	"SB-100"	2/7/2015 0:00:00	12/30/1899 12:00:00	"1"	29	12/30/1899 10:00:00	10.30	"37.46289"	"-121.93987"	
90	"SB-120"	2/7/2015 0:00:00	12/30/1899 12:29:00	"1"	27	12/30/1899 10:00:00	12.35	"37.46411"	"-121.9462"	
94	"NB-720"	2/13/2015 0:00:00	12/30/1899 7:42:00	"1"	26	12/30/1899 10:00:00	14.15	"38.22812"	"-122.61326"	
95	"NB-730"	2/13/2015 0:00:00	12/30/1899 8:28:00	"1"	18	12/30/1899 10:00:00	14.20	"38.22082"	"-122.60031"	
96	"NB-780"	2/13/2015 0:00:00	12/30/1899 9:25:00	"1"	29	12/30/1899 10:00:00	12.80	"38.19782"	"-122.56331"	
97	"NB-850"	2/13/2015 0:00:00	12/30/1899 10:15:00	"1"	24	12/30/1899 10:00:00	11.10	"38.16597"	"-122.53963"	
98	"NB-1001"	2/13/2015 0:00:00	12/30/1899 11:14:00	"1"	26	12/30/1899 10:00:00	4.40	"38.10864"	"-122.4818"	
104	"NB-140"	2/14/2015 0:00:00	12/30/1899 7:45:00	"1"	21	12/30/1899 10:00:00	18.15	"38.26634"	"-122.286"	
105	"NB-201"	2/14/2015 0:00:00	12/30/1899 8:55:00	"1"	12	12/30/1899 10:00:00	13.00	"38.25166"	"-122.29369"	
106	"NB-200"	2/14/2015 0:00:00	12/30/1899 10:00:00	"1"	40	12/30/1899 10:00:00	19.00	"38.2269"	"-122.30267"	
107	"NB-220"	2/14/2015 0:00:00	12/30/1899 11:01:00	"1"	23	12/30/1899 10:00:00	16.00	"38.2139"	"-122.30888"	
110	"NB-281"	2/14/2015 0:00:00	12/30/1899 13:00:00	"1"	15	12/30/1899 10:00:00	15.00	"38.18413"	"-122.32123"	
111	"NB-283"	2/14/2015 0:00:00	12/30/1899 13:20:00	"1"	10	12/30/1899 10:00:00	14.00	"38.19069"	"-122.32746"	
112	"NB-285"	2/14/2015 0:00:00	12/30/1899 13:44:00	"1"	16	12/30/1899 10:00:00	9.40	"38.191"	"-122.33732"	
115	"NB-500"	2/15/2015 0:00:00	12/30/1899 8:06:00	"1"	15	12/30/1899 10:00:00	7.75	"38.22847"	"-122.42719"	
117	"NB-530"	2/15/2015 0:00:00	12/30/1899 9:30:00	"1"	24	12/30/1899 10:00:00	11.05	"38.21763"	"-122.42696"	
118	"NB-590"	2/15/2015 0:00:00	12/30/1899 10:35:00	"1"	36	12/30/1899 10:00:00	16.25	"38.18842"	"-122.40447"	
119	"NB-630"	2/15/2015 0:00:00	12/30/1899 11:27:00	"1"	25	12/30/1899 10:00:00	11.80	"38.16997"	"-122.4148"	
120	"NB-772"	3/6/2015 0:00:00	12/30/1899 10:49:00	"1"	22	12/30/1899 10:00:00	4.90	"38.20928"	"-122.56552"	
121	"NB-840"	3/6/2015 0:00:00	12/30/1899 13:52:00	"1"	28	12/30/1899 10:00:00	10.00	"38.17306"	"-122.53225"	
122	"NB-810"	3/6/2015 0:00:00	12/30/1899 13:13:00	"1"	33	12/30/1899 10:00:00	13.60	"38.18576"	"-122.54462"	
123	"NB-790"	3/6/2015 0:00:00	12/30/1899 12:28:00	"1"	33	12/30/1899 10:00:00	15.00	"38.19857"	"-122.55553"	
125	"NB-252"	3/5/2015 0:00:00	12/30/1899 13:44:00	"1"	27	12/30/1899 10:00:00	4.40	"38.21204"	"-122.293"	
126	"NB-210"	3/5/2015 0:00:00	12/30/1899 13:02:00	"1"	25	12/30/1899 10:00:00	17.70	"38.22124"	"-122.31002"	
127	"NB-190"	3/5/2015 0:00:00	12/30/1899 11:45:00	"1"	28	12/30/1899 10:00:00	18.70	"38.23093"	"-122.29712"	
128	"NB-180"	3/5/2015 0:00:00	12/30/1899 11:06:00	"1"	25	12/30/1899 10:00:00	16.75	"38.23605"	"-122.28762"	
129	"NB-150"	3/5/2015 0:00:00	12/30/1899 10:20:00	"1"	21	12/30/1899 10:00:00	14.50	"38.25985"	"-122.2864"	
130	"NB-140"	3/5/2015 0:00:00	12/30/1899 9:07:00	"1"	20	12/30/1899 10:00:00	14.00	"38.26836"	"-122.28629"	
131	"NB-120"	3/5/2015 0:00:00	12/30/1899 8:27:00	"1"	22	12/30/1899 10:00:00	12.50	"38.27667"	"-122.28241"	
132	"NB-110"	3/5/2015 0:00:00	12/30/1899 7:48:00	"1"	30	12/30/1899 10:00:00	18.00	"38.28522"	"-122.28583"	
133	"NB-630"	3/4/2015 0:00:00	12/30/1899 13:28:00	"1"	20	12/30/1899 10:00:00	11.00			
134	"NB-610"	3/4/2015 0:00:00	12/30/1899 12:51:00	"1"	20	12/30/1899 10:00:00	13.50			
135	"NB-600"	3/4/2015 0:00:00	12/30/1899 12:04:00	"1"	18	12/30/1899 10:00:00	14.60			
136	"NB-590"	3/4/2015 0:00:00	12/30/1899 11:30:00	"1"	21	12/30/1899 10:00:00	14.30			
137	"NB-570"	3/4/2015 0:00:00	12/30/1899 10:30:00	"1"	20	12/30/1899 10:00:00	6.60			
138	"NB-560"	3/4/2015 0:00:00	12/30/1899 9:50:00	"1"	20	12/30/1899 10:00:00	8.20			
139	"NB-530"	3/4/2015 0:00:00	12/30/1899 9:09:00	"1"	24	12/30/1899 10:00:00	6.80			
140	"NB-510"	3/4/2015 0:00:00	12/30/1899 8:25:00	"1"	20	12/30/1899 10:00:00	4.25			
141	"NB-700"	3/6/2015 0:00:00	12/30/1899 7:48:00	"1"	23	12/30/1899 10:00:00	5.90	"38.23376"	"-122.63336"	
142	"NB-730"	3/6/2015 0:00:00	12/30/1899 9:50:00	"1"	19	12/30/1899 10:00:00	11.90	"38.22092"	"-122.59611"	
143	"NB-710"	3/6/2015 0:00:00	12/30/1899 8:34:00	"1"	20	12/30/1899 10:00:00	6.70	"38.22973"	"-122.62613"	
145	"SB-540"	3/7/2015 0:00:00	12/30/1899 10:05:00	"1"	32	12/30/1899 10:00:00	8.00	"37.44714"	"-122.01925"	
146	"SB-150"	3/7/2015 0:00:00	12/30/1899 11:59:00	"1"	19	12/30/1899 10:00:00	16.70	"37.46041"	"-121.98019"	
150	"SB-760"	3/7/2015 0:00:00	12/30/1899 12:40:00	"1"	15	12/30/1899 10:00:00	4.00	"37.46601"	"-121.98274"	
154	"SB-400"	3/8/2015 0:00:00	12/30/1899 9:05:00	"1"	18	12/30/1899 10:00:00	4.00	"37.44174"	"-121.95965"	
155	"SB-410"	3/8/2015 0:00:00	12/30/1899 9:51:00	"1"	20	12/30/1899 10:00:00	5.80	"37.45261"	"-121.96603"	
156	"SB-420"	3/8/2015 0:00:00	12/30/1899 10:38:00	"1"	30	12/30/1899 10:00:00	7.00	"37.4592"	"-121.96461"	
157	"SB-100"	3/8/2015 0:00:00	12/30/1899 11:26:00	"1"	35	12/30/1899 10:00:00	5.50	"37.46289"	"-121.93987"	
158	"SB-120"	3/8/2015 0:00:00	12/30/1899 12:25:00	"1"	20	12/30/1899 10:00:00	10.00	"37.46411"	"-121.9462"	
159	"SB-700"	3/8/2015 0:00:00	12/30/1899 13:15:00	"1"	20	12/30/1899 10:00:00	5.80	"37.46251"	"-121.9525"	
174	"SB-500"	3/7/2015 0:00:00	12/30/1899 8:43:00	"1"	22	12/30/1899 10:00:00	4.30	"37.42966"	"-121.98306"	
180	"NB-780"	3/6/2015 0:00:00	12/30/1899 12:05:00	"1"	20	12/30/1899 10:00:00	7.50	"38.19995"	"-122.56547"	
181	"SB-540"	2/21/2015 0:00:00	12/30/1899 10:15:00	"1"	33	12/30/1899 10:00:00	7.55	"37.44714"	"-122.01925"	
182	"SB-210"	2/21/2015 0:00:00	12/30/1899 11:22:00	"1"	22	12/30/1899 10:00:00	15.50	"37.46254"	"-122.03504"	
183	"SB-150"	2/21/2015 0:00:00	12/30/1899 12:20:00	"1"	25	12/30/1899 10:00:00	12.40	"37.46041"	"-121.98019"	
184	"SB-730"	2/21/2015 0:00:00	12/30/1899 13:11:00	"1"	20	12/30/1899 10:00:00	5.20	"37.46187"	"-121.97608"	
190	"SB-500"	2/21/2015 0:00:00	12/30/1899 15:48:00	"1"	30	12/30/1899 10:00:00	12.20	"37.42966"	"-121.98306"	
191	"SB-400"	2/22/2015 0:00:00	12/30/1899 9:00:00	"1"	23	12/30/1899 10:00:00	3.70	"37.44174"	"-121.95965"	
192	"SB-410"	2/22/2015 0:00:00	12/30/1899 9:49:00	"1"	18	12/30/1899 10:00:00	4.45	"37.45261"	"-121.96603"	
193	"SB-420"	2/22/2015 0:00:00	12/30/1899 10:40:00	"1"	25	12/30/1899 10:00:00	5.95	"37.4592"	"-121.96461"	
194	"SB-100"	2/22/2015 0:00:00	12/30/1899 11:35:00	"1"	16	12/30/1899 10:00:00	5.80	"37.46289"	"-121.93987"	
197	"SB-720"	2/22/2015 0:00:00	12/30/1899 13:39:00	"1"	12	12/30/1899 10:00:00	5.95	"37.46358"	"-121.96486"	
200	"NB-250"	3/23/2015 0:00:00	12/30/1899 13:43:00	"1"	32	12/30/1899 10:00:00	7.50	"38.19768"	"-122.31477"	
201	"NB-210"	3/23/2015 0:00:00	12/30/1899 12:57:00	"1"	32	12/30/1899 10:00:00	15.00	"38.22124"	"-122.31002"	
202	"NB-190"	3/23/2015 0:00:00	12/30/1899 12:12:00	"1"	31	12/30/1899 10:00:00	9.00	"38.23093"	"-122.29712"	
203	"NB-180"	3/23/2015 0:00:00	12/30/1899 11:21:00	"1"	39	12/30/1899 10:00:00	10.00	"38.23605"	"-122.28762"	
204	"NB-170"	3/23/2015 0:00:00	12/30/1899 10:22:00	"1"	40	12/30/1899 10:00:00	13.00	"38.24458"	"-122.28541"	
205	"NB-140"	3/23/2015 0:00:00	12/30/1899 9:33:00	"1"	39	12/30/1899 10:00:00	15.00	"38.26511"	"-122.28463"	
206	"NB-120"	3/23/2015 0:00:00	12/30/1899 8:47:00	"1"	21	12/30/1899 10:00:00	12.00	"38.281984"	"-122.285269"	
207	"NB-100"	3/23/2015 0:00:00	12/30/1899 7:59:00	"1"	45	12/30/1899 10:00:00	14.00	"38.29662"	"-122.28218"	
208	"NB-520"	3/25/2015 0:00:00	12/30/1899 8:57:00	"1"	30	12/30/1899 10:00:00	7.00	"38.22595"	"-122.42025"	
209	"NB-510"	3/25/2015 0:00:00	12/30/1899 7:52:00	"1"	23	12/30/1899 10:00:00				
210	"NB-550"	3/25/2015 0:00:00	12/30/1899 9:54:00	"1"	27	12/30/1899 10:00:00	6.50			
211	"NB-560"	3/25/2015 0:00:00	12/30/1899 10:52:00	"1"	35	12/30/1899 10:00:00	7.20	"38.2050167"	"-122.4016333"	
212	"NB-720"	3/24/2015 0:00:00	12/30/1899 7:55:00	"1"	35	12/30/1899 10:00:00	10.00			
213	"NB-750"	3/24/2015 0:00:00	12/30/1899 10:25:00	"1"	35	12/30/1899 10:00:00	9.50			
214	"NB-740"	3/24/2015 0:00:00	12/30/1899 9:48:00	"1"	38	12/30/1899 10:00:00				
215	"SB-540"	3/21/2015 0:00:00	12/30/1899 9:31:00	"1"	25	12/30/1899 10:00:00	4.60			
216	"SB-150"	3/21/2015 0:00:00	12/30/1899 12:15:00	"1"	18	12/30/1899 10:00:00	13.70	"37.46041"	"-121.98019"	
217	"SB-760"	3/21/2015 0:00:00	12/30/1899 13:01:00	"1"	15	12/30/1899 10:00:00	3.00	"37.46601"	"-121.98274"	
218	"SB-500"	3/21/2015 0:00:00	12/30/1899 15:24:00	"1"	22	12/30/1899 10:00:00	13.80	"37.42982"	"-121.98359"	
219	"SB-700"	3/22/2015 0:00:00	12/30/1899 13:45:00	"1"	27	12/30/1899 10:00:00	5.50	"37.46251"	"-121.9525"	
220	"SB-120"	3/22/2015 0:00:00	12/30/1899 12:23:00	"1"	29	12/30/1899 10:00:00	9.80	"37.46411"	"-121.9462"	
221	"SB-100"	3/22/2015 0:00:00	12/30/1899 11:28:00	"1"	16	12/30/1899 10:00:00	5.60	"37.46289"	"-121.93987"	
222	"SB-420"	3/22/2015 0:00:00	12/30/1899 10:30:00	"1"	15	12/30/1899 10:00:00	4.80	"37.4592"	"-121.96461"	
223	"SB-410"	3/22/2015 0:00:00	12/30/1899 9:44:00	"1"	15	12/30/1899 10:00:00	4.20	"37.45261"	"-121.96603"	
224	"SB-400"	3/22/2015 0:00:00	12/30/1899 8:53:00	"1"	15	12/30/1899 10:00:00	4.60	"37.44174"	"-121.95965"	
230	"NB-730"	3/24/2015 0:00:00	12/30/1899 8:36:00	"1"	38	12/30/1899 10:00:00	10.00			
231	"WP188"	4/23/2015 0:00:00	12/30/1899 8:11:00		35	12/30/1899 5:00:00	9.40			
232	"WP188"	4/23/2015 0:00:00	12/30/1899 8:24:00		25	12/30/1899 5:00:00	9.40			
233	"WP188"	4/23/2015 0:00:00	12/30/1899 8:36:00		35	12/30/1899 5:00:00	9.40			
234	"NB-271"	4/23/2015 0:00:00	12/30/1899 9:48:00		30	12/30/1899 5:00:00	7.60			
235	"NB-271"	4/23/2015 0:00:00	12/30/1899 10:00:00		30	12/30/1899 5:00:00	6.60			
236	"NB-271"	4/23/2015 0:00:00	12/30/1899 10:00:00		35	12/30/1899 5:00:00	6.60			
402	"Unknown"	11/12/2015 0:00:00	12/30/1899 12:10:00			12/30/1899 10:00:00	15.23	"38.14772"	"122.53137"	
404	"NB-640"	11/11/2015 0:00:00	12/30/1899 10:39:00			12/30/1899 10:00:00	11.25	"38.17490"	"-122.41588"	
1000	"Unknown"	12/9/2015 0:00:00	12/30/1899 8:42:00	"1"	25	12/30/1899 10:00:00				"8:53"
1001	"Unknown"	12/9/2015 0:00:00	12/30/1899 9:17:00	"1"	27	12/30/1899 10:00:00	11.60			"9:27"
1002	"Unknown"	12/9/2015 0:00:00	12/30/1899 13:47:00	"1"	27	12/30/1899 10:00:00	20.00			"13:57"
1003	"Unknown"	12/9/2015 0:00:00	12/30/1899 13:05:00	"1"	25	12/30/1899 10:00:00	17.10			"13:13"
1004	"Unknown"	12/10/2015 0:00:00	12/30/1899 8:36:00	"1"	21	12/30/1899 10:00:00	7.75			
1005	"Unknown"	12/10/2015 0:00:00	12/30/1899 9:09:00	"1"	29	12/30/1899 10:00:00	9.50			"9:15"
1006	"NB-160"	12/11/2015 0:00:00	12/30/1899 9:05:00	"1"	35	12/30/1899 10:00:00	16.30			"9:13"
1007	"NB-160"	12/11/2015 0:00:00	12/30/1899 9:40:00	"2"	25	12/30/1899 10:00:00	20.50			"9:56"
1008	"NB-285"	12/11/2015 0:00:00	12/30/1899 13:00:00	"1"	40	12/30/1899 10:00:00	8.00			"1:12"
1009	"NB-140"	12/16/2015 0:00:00	12/30/1899 9:07:00	"1"	30	12/30/1899 10:00:00	11.30			"9:20:00 AM"
1010	"NB-160"	12/16/2015 0:00:00	12/30/1899 9:56:00	"1"	20	12/30/1899 10:00:00	15.75			"9:56:00 AM"
1011	"NB-710"	12/16/2015 0:00:00	12/30/1899 12:40:00	"1"	21	12/30/1899 10:00:00	8.35			"12:50:00 PM"
1012	"NB-720"	12/16/2015 0:00:00	12/30/1899 13:05:00	"1"	22	12/30/1899 10:00:00	8.85			"1:16:00 PM"
1013	"SB-ALV1"	12/12/2015 0:00:00	12/30/1899 8:32:00	"1"	40	12/30/1899 10:00:00				
1014	"SB-ALV3"	12/12/2015 0:00:00	12/30/1899 11:10:00	"1"	20	12/30/1899 10:00:00	14.80			
1015	"SB-A21.1"	12/12/2015 0:00:00	12/30/1899 13:58:00	"1"	30	12/30/1899 10:00:00				
1016	"SB-ART2"	12/13/2015 0:00:00	12/30/1899 9:30:00	"1"	35	12/30/1899 10:00:00				
1017	"SB-A19.1"	12/13/2015 0:00:00	12/30/1899 10:15:00	"1"	10	12/30/1899 10:00:00				
1018	"SB-UCOY 2"	12/13/2015 0:00:00	12/30/1899 12:25:00	"1"	25	12/30/1899 10:00:00				"NA"
1019	"NB-520"	1/4/2016 0:00:00	12/30/1899 9:32:00	"1"	22	12/30/1899 10:00:00	6.50			"9:35:00 AM"
1020	"NB-540"	1/4/2016 0:00:00	12/30/1899 10:09:00	"1"	20	12/30/1899 10:00:00	10.30			"10:07:00 AM"
1021	"NB-710"	1/4/2016 0:00:00	12/30/1899 12:28:00	"1"	19	12/30/1899 10:00:00	10.20			"12:39:00 PM"
1022	"NB-730"	1/4/2016 0:00:00	12/30/1899 13:00:00	"1"	20	12/30/1899 10:00:00	10.70			
1023	"NB-110"	1/5/2016 0:00:00	12/30/1899 8:45:00	"1"	20	12/30/1899 10:00:00	9.35			"8:44:00 AM"
1024	"NB-120"	1/5/2016 0:00:00	12/30/1899 9:30:00	"1"	21	12/30/1899 10:00:00	8.21			"9:27:00 AM"
1025	"NB-120"	1/5/2016 0:00:00	12/30/1899 9:49:00	"2"		12/30/1899 10:00:00	9.40			"9:44:00 AM"
1026	"NB-110"	1/5/2016 0:00:00	12/30/1899 10:09:00	"2"	23	12/30/1899 10:00:00	9.15			"10:09:00 AM"
1027	"NB-110"	1/5/2016 0:00:00	12/30/1899 10:36:00	"3"	18	12/30/1899 10:00:00	10.50			"10:36:00 AM"
1028	"NB-120"	1/5/2016 0:00:00	12/30/1899 11:05:00	"3"	20	12/30/1899 10:00:00	10.00			"11:04:00 AM"
1029	"NB-160"	1/5/2016 0:00:00	12/30/1899 11:45:00	"1"	20	12/30/1899 10:00:00	22.00			"11:45:00 AM"
1030	"NB-150"	1/5/2016 0:00:00	12/30/1899 12:15:00	"1"	14	12/30/1899 10:00:00	16.20			"12:12"
1031	"NB-150"	1/5/2016 0:00:00	12/30/1899 12:40:00	"1"	15	12/30/1899 10:00:00	16.30			"12:28:00 PM"
1032	"NB-150"	1/5/2016 0:00:00	12/30/1899 13:05:00	"2"	12	12/30/1899 10:00:00	16.30			"12:54:00 PM"
1033	"NB-160"	1/5/2016 0:00:00	12/30/1899 13:32:00	"2"	15	12/30/1899 10:00:00	21.40			"1:32:00 PM"
1034	"NB-520"	1/6/2016 0:00:00	12/30/1899 8:47:00	"1"	20	12/30/1899 10:00:00	6.40			"8:44"
1035	"NB-540"	1/6/2016 0:00:00	12/30/1899 9:51:00	"1"		12/30/1899 10:00:00	8.90			
1036	"NB-710"	1/7/2016 0:00:00	12/30/1899 11:44:00	"1"	10	12/30/1899 10:00:00	15.00			"11:46"
1037	"NB-720"	1/7/2016 0:00:00	12/30/1899 12:08:00	"1"	5	12/30/1899 10:00:00	13.00			"12:07"
1038	"NB-130"	1/8/2016 0:00:00	12/30/1899 8:24:00	"1"	36	12/30/1899 10:00:00	9.85			"8:37"
1039	"NB-140"	1/8/2016 0:00:00	12/30/1899 8:49:00	"1"	35	12/30/1899 10:00:00	10.30			
1040	"NB-285"	1/8/2016 0:00:00	12/30/1899 12:35:00	"1"	35	12/30/1899 10:00:00				
1041	"NB-285"	1/8/2016 0:00:00	12/30/1899 12:55:00	"2"	25	12/30/1899 10:00:00				
1042	"SB-510"	1/9/2016 0:00:00	12/30/1899 8:56:00	"1"	25	12/30/1899 10:00:00	11.60			"SB510-M"
1043	"SB-ALV3"	1/9/2016 0:00:00	12/30/1899 10:35:00	"1"	35	12/30/1899 10:00:00	12.65			
1044	"SB-LSB1"	1/9/2016 0:00:00	12/30/1899 11:34:00	"1"	25	12/30/1899 10:00:00	19.60			"LSB1"
