"RecordNumber"	"StationName"	"Date"	"Survey"	"Replicate"	"Tide"	"Tide Height"	"SalinityZone"	"Temp(C)StartTop"	"Conductivity(uS/cm)StartTop"	"Salinity(ppt)StartTop"	"DOSat(Percent)StartTop"	"DOSat(mg/L)StartTop"	"Chl(ug/L)StartTop"	"Chl(RFU)StartTop"	"Temp(C)StartBottom"	"Conductivity(uS/cm)StartBottom"	"Salinity(ppt)StartBottom"	"DOSat(Percent)StartBottom"	"DOSat(mg/L)StartBottom"	"Chl(ug/L)StartBottom"	"Chl(RFU)StartBottom"	"Temp(C)EndTop"	"Conductivity(uS/cm)EndTop"	"Salinity(ppt)EndTop"	"DOSat(Percent)EndTop"	"DOSat(mg/L)EndTop"	"Chl(ug/L)EndTop"	"Chl(RFU)EndTop"	"Temp(C)EndBottom"	"Conductivity(uS/cm)EndBottom"	"Salinity(ppt)EndBottom"	"DOSat(Percent)EndBottom"	"DOSat(mg/L)EndBottom"	"Chl(ug/L)EndBottom"	"Chl(RFU)EndBottom"	"StartSecchi(cm)"	"EndSecchi(cm)"	"StartNTU"	"EndNTU"	"StartpH"	"EndpH"	"Comments"	"WQStartFile"	"WQEndFile"
24	"SB-720"	1/4/2015 0:00:00	"1"	"2"	"Ebbing"		"4: >10"	10.50	21816.00	18.70	91.60	8.94										10.00	22636.00	19.70	88.90	8.85																"1.0 Mph. Stepped oblique.  Steps at 2:30, 4:40.  Retained .25 of sample."		
25	"NB-720"	1/9/2015 0:00:00	"1"	"1"		"2.82"	"1: 1-3.99"	6.90	2748.00	1.70	93.60	8.86																								26.00						"A lot of veg, decomposing organic material"		
26	"NB-750"	1/9/2015 0:00:00	"1"	"1"	"Flooding"	"3.04"	"1: 1-3.99"	7.80	3647.00	2.20	89.80	8.33																								26.00						"Zoop not stepped - only 5 min"		
27	"NB-772"	1/9/2015 0:00:00	"1"	"1"	"Flooding"	"3.46"	"1: 1-3.99"	8.30	4281.00	2.60	91.00	8.50																								23.00								
29	"NB-800"	1/9/2015 0:00:00	"1"	"1"	"Flooding"	"4.34"	"2: 4-6.99"	8.28	7345.00	4.70	86.00	7.93																								18.00								
30	"NB-879"	1/9/2015 0:00:00	"1"	"1"	"Flooding"	"5.09"	"3: 7-9.99"	8.39	9808.00	6.40	92.40	8.38																								18.00								
31	"NB-770"	1/9/2015 0:00:00	"1"	"1"		"5.72"	"3: 7-9.99"	8.44	9902.00	6.50	93.00	8.34																								19.00								
32	"NB-212"	1/11/2015 0:00:00	"1"	"1"		"2.76"	"3: 7-9.99"	10.00	7776.00	6.20	74.00	8.00																								43.00						"Edgerly Island station tide. 10:57 am, slack low +2.52"		
33	"NB-220"	1/11/2015 0:00:00	"1"	"1"		"2.62"	"3: 7-9.99"	10.40	7924.00	6.30	79.80	8.60										10.30	8580.00	6.80	81.50	8.80										48.00						"30° angle on cable"		
34	"NB-271"	1/11/2015 0:00:00	"1"	"1"		"2.53"	"3: 7-9.99"	10.40	10341.00	8.30	74.00	7.90																								37.00						"20° angle on cable"		
35	"NB-283"	1/11/2015 0:00:00	"1"	"1"	"Flooding"	"2.59"	"3: 7-9.99"	10.70	10682.00	8.60	78.00	8.30										10.60	10962.00	8.80	82.00	8.70										35.00								
36	"NB-283"	1/11/2015 0:00:00	"1"	"1"	"Flooding"	"2.71"	"3: 7-9.99"	11.10	11135.00	8.80	70.70	7.39																								25.00								
37	"NB-120"	1/11/2015 0:00:00	"1"	"1"	"Flooding"	"3.46"	"1: 1-3.99"	10.50	1034.00	0.50	90.40	9.90																								80.00						"Downstream of W. Imola Ave"		
38	"NB-720"	1/22/2015 0:00:00	"2"	"1"			"1: 1-3.99"	10.90	3682.00	2.70	72.90	7.98																								29.00								
39	"NB-879"	1/22/2015 0:00:00	"2"	"1"			"3: 7-9.99"	10.90	1959.00	8.80	79.00	8.41																								26.00								
40	"NB-800"	1/22/2015 0:00:00	"2"	"1"			"3: 7-9.99"	12.00	9395.00	7.20	80.20	8.45																								22.00						"Winch starting to go out"		
41	"NB-750"	1/22/2015 0:00:00	"2"	"1"			"2: 4-6.99"	11.70	6925.00	5.20	70.90	7.54																								23.00								
42	"SB-500"	1/24/2015 0:00:00	"2"	"1"	"Ebbing"		"4: >10"	12.10	20398.00	16.60	105.70	10.35																								35.00						"Sunny, warm.  Lots of shell debotage. Total volume of zoop = 1400ml.  700 went to formalyne.  Remainder was washed & preserved in 95% Etoh. Lots of sculpin larvae and at least 1 anchovie."		
43	"SB-540"	1/24/2015 0:00:00	"2"	"1"			"4: >10"	12.20	24087.00	19.90	74.30	7.06																								18.00								
46	"SB-150"	1/24/2015 0:00:00	"2"	"1"			"4: >10"	14.50	17558.00	13.20	96.20	9.14																								28.00						"Saved NORANC"		
53	"SB-400"	1/25/2015 0:00:00	"2"	"1"			"1: 1-3.99"	19.70	2673.00	2.40	54.00	4.85											2934.00	1.60	59.30	5.39										110.00						"Super sunny, warm day. No breeze. Wp 1- 2.4 ppt, Wp 9- 1.6 ppt"		
54	"SB-410"	1/25/2015 0:00:00	"2"	"1"	"Ebbing"		"3: 7-9.99"	18.10	9738.00	6.50	98.00	9.05											7643.00	4.90	103.20	9.69										56.00						"Zoop tow labelled ART-1-2 (4-6 ppt) but we are techincally @ART-2. Wp 7 ~4 ppt, Wp 8~6ppt.  Disected 2 AMSHAD, 2 THRSHA
all copepods, couple mysides in AMSHAD, no larval fish."		
55	"SB-420"	1/25/2015 0:00:00	"2"	"1"			"3: 7-9.99"	16.90	11278.00	7.70	75.80	7.10										17.10	11234.00	7.70												22.00						"Just post of A19 outfall"		
58	"SB-120"	1/25/2015 0:00:00	"2"	"1"			"3: 7-9.99"	12.80	10972.00	8.30	75.20	7.55																								45.00								
61	"NB-570"	1/26/2015 0:00:00	"2"	"1"			"3: 7-9.99"	10.40	9919.00	8.00	71.50	7.61										10.70	9482.00	7.50												18.00								
62	"NB-540"	1/26/2015 0:00:00	"2"	"1"			"2: 4-6.99"	10.30	6551.00	5.10	66.60	7.24										10.40	5767.00	4.40												20.00								
63	"NB-289"	1/26/2015 0:00:00	"2"	"1"			"4: >10"	10.40	12163.00	9.90	65.70	6.88										10.70	12660.00	10.30												25.00								
64	"NB-287"	1/26/2015 0:00:00	"2"	"1"			"4: >10"	10.80	12910.00	10.50	68.60	7.13																								32.00								
65	"NB-285"	1/26/2015 0:00:00	"2"	"1"			"4: >10"	11.10	17354.00	14.30	69.60	7.02																								25.00						"Didn't move much. YSI 28. Bulepond outfall"		
66	"NB-252"	1/26/2015 0:00:00	"2"	"1"			"4: >10"	11.30	16207.00	13.20	70.20	7.10																								35.00								
67	"NB-220"	1/26/2015 0:00:00	"2"	"1"			"4: >10"	11.80	12833.00	10.10	69.90	7.11											123477.00	9.80												35.00						"Preserved LONSME in Etoh"		
68	"NB-212"	1/26/2015 0:00:00	"2"	"1"			"4: >10"	10.90	12513.00	10.10	70.70	7.33																								22.00						"Sample had tons of sediment. Subsampling. 2 jars."		
69	"NB-100"	2/4/2015 0:00:00	"3"	"1"			"1: 1-3.99"	12.00	2254.00	1.60	83.90	8.97			11.60	2823.00	2.00	76.10	8.12			12.20	3151.00	2.20	82.60	8.80			11.60	3302.00	2.40	72.50	7.80			70.00						"Kennedy launch 6.1 ppt - 7:35 am. Waypoint 38 - 4.7 ppt. 6406 uS 12.3° 7:44 am. Across from marina housing units."		
70	"NB-120"	2/4/2015 0:00:00	"3"	"1"			"2: 4-6.99"	12.30	5997.00	4.40	77.40	8.06			12.10	7254.00	5.40	72.00	7.50			12.60	6828.00	5.10	70.70	7.83			12.90	8439.00	6.30	70.30	7.68			65.00								
71	"NB-140"	2/4/2015 0:00:00	"3"	"1"			"2: 4-6.99"	12.90	8149.00	6.00	79.00	8.10			13.10	8728.00	6.50	74.00	7.50			13.50	9103.00	6.70	83.40	8.50			14.10	10175.00	7.40	74.00	7.30			60.00								
72	"NB-170"	2/4/2015 0:00:00	"3"	"1"			"4: >10"	13.80	12020.00	9.00	76.00	7.50			13.80	12210.00	9.10	76.00	7.20			13.80	12236.00	9.10	74.00	7.10			13.90	12713.00	9.50	73.00	7.40			48.00								
75	"NB-500"	2/4/2015 0:00:00	"3"	"1"			"2: 4-6.99"	13.60	7065.00	5.10	74.00	7.50			13.90	7192.00	5.10	67.00	6.70			13.70	7733.00	5.60	88.00	8.60			14.00	7940.00	5.70					25.00						"*as far up Sonoma Creek as we can go"		
76	"NB-520"	2/4/2015 0:00:00	"3"	"1"			"3: 7-9.99"	14.30	9358.00	6.80	80.00	7.90			14.30	9637.00	7.00	67.00	6.60			14.10	9939.00	7.20	88.00	7.80			14.10	10366.00	7.50	79.00	7.20			30.00						"End WQ"		
77	"NB-530"	2/4/2015 0:00:00	"3"	"1"			"4: >10"	13.60	12372.00	9.30	76.00	7.60			13.50	12127.00	9.10	77.00	7.70			13.50	12127.00	9.10	76.00	7.70			13.60	12126.00	9.10					40.00								
78	"NB-560"	2/4/2015 0:00:00	"3"	"1"			"4: >10"	13.50	1245.00	9.40	77.00	7.50			13.70							13.50	12208.00	9.20	80.00	7.80			13.90		9.20					30.00								
79	"NB-700"	2/5/2015 0:00:00	"3"	"1"			"1: 1-3.99"	12.30	4499.00	3.20	82.00	8.60			12.40	5305.00	3.90	71.00	7.40			12.50	5197.00	3.80	81.00	8.50			12.40	5712.00	4.20	73.00	7.60			45.00								
80	"NB-720"	2/5/2015 0:00:00	"3"	"1"			"2: 4-6.99"	12.60	6255.00	4.60	79.00	8.20			12.50	6185.00	4.50	72.00	7.50			12.60	6412.00	4.70	79.00	8.30			12.30	6406.00	4.70	80.00	8.30			45.00								
81	"NB-760"	2/5/2015 0:00:00	"3"	"1"			"3: 7-9.99"	12.90	8235.00	6.10	82.00	8.30			12.90	8346.00	6.20	72.00	7.40			13.10	8716.00	6.50	84.00	8.40			13.00	8814.00	6.60	23.00	7.40			40.00								
82	"NB-780"	2/5/2015 0:00:00	"3"	"1"			"3: 7-9.99"	13.40	11192.00	8.40	76.00	7.60			13.60	11804.00	8.90	66.00	6.50			13.40	11700.00	8.80	79.00	7.80			13.50	12189.00	9.20	60.00	5.90			45.00								
85	"SB-400"	2/7/2015 0:00:00	"3"	"1"			"2: 4-6.99"	19.40	6437.00	4.00	63.00	5.70			18.10	12042.00	8.00	62.00	5.60			20.80	2311.00	1.30	64.00	5.70			19.10	2183.00	4.50	61.00	5.60			100.00								
86	"SB-410"	2/7/2015 0:00:00	"3"	"1"			"2: 4-6.99"	19.10	7200.00	4.50	70.00	6.30			17.40	12014.00	8.10	64.00	6.30			18.50	9200.00	6.00	58.00	5.30			18.30	9422.00	6.20	59.00	5.40			45.00								
87	"SB-420"	2/7/2015 0:00:00	"3"	"1"			"1: 1-3.99"	17.20		3.60	50.00	4.80			17.50	10129.00	6.80	52.00	4.80						54.00	5.90			17.30	11267.00	7.70	52.00	4.80			25.00						"Influence of bay water"		
88	"SB-420"	2/7/2015 0:00:00	"3"	"1"			"2: 4-6.99"	16.80	7958.00	5.30	56.00	5.30			16.40	12112.00	8.40	46.00	4.20			16.80	8517.00	5.70	58.00	5.40			16.50	10345.00	7.10	49.00	4.60			30.00								
89	"SB-100"	2/7/2015 0:00:00	"3"	"1"			"1: 1-3.99"	16.10	602.00	0.40	57.00	5.60			16.30	1159.00	0.70	59.00	5.30			16.00	4677.00	0.30	54.00	5.40			15.80	527.00	0.30	49.00	4.80			18.00						"Traditional SBSP station codes may not be the exact same gps location as SLS-OT"		
90	"SB-120"	2/7/2015 0:00:00	"3"	"1"			"1: 1-3.99"	16.60	1543.00	0.90	53.00	5.20			16.60	8943.00	6.10	49.00	4.60			16.60	10281.00	7.00	52.00	4.90			17.10	11637.00	7.90	51.00	4.70			25.00								
94	"NB-720"	2/13/2015 0:00:00	"4"	"1"			"1: 1-3.99"	13.50	708.00	0.40	51.00	5.40			13.00	782.00	0.80	52.00	5.50			13.20	1266.00	0.80	54.00	5.70			13.10	1242.00	0.80	48.70	5.10			20.00						"Clear skies"		
95	"NB-730"	2/13/2015 0:00:00	"4"	"1"			"1: 1-3.99"	13.20	1734.00	1.20	47.00	55.00			13.30	4008.00	2.80	49.00	52.00			13.40	2162.00	1.50	54.00	57.00			13.70	5152.00	3.60	54.00	55.00			25.00								
96	"NB-780"	2/13/2015 0:00:00	"4"	"1"			"1: 1-3.99"	13.60	5514.00	3.90	58.00	5.90			13.40	5463.00	3.90	52.00	5.30			13.90	6090.00	4.50	50.00	5.04			14.30	9856.00	7.10	52.00	5.11			20.00								
97	"NB-850"	2/13/2015 0:00:00	"4"	"1"			"3: 7-9.99"	14.40	9599.00	6.80	57.00	5.60			14.50	1284.00	9.40	59.00	5.70			14.90	13094.00	9.50	59.00	5.60			15.00	12079.00	8.80					25.00								
98	"NB-1001"	2/13/2015 0:00:00	"4"	"1"			"4: >10"	15.50	18334.00	13.50	62.00	5.70										15.60	18302.00	13.50	68.00	6.10										35.00								
104	"NB-140"	2/14/2015 0:00:00	"4"	"1"	"Flooding"		"1: 1-3.99"	13.40	398.70	0.30	70.40	7.53			13.20	391.00	0.20	72.50	7.72			13.40	483.00	0.30	66.20	6.88			12.80	495.00	0.30	68.60	7.20			45.00								
105	"NB-201"	2/14/2015 0:00:00	"4"	"1"	"Flooding"		"1: 1-3.99"	13.90	3456.00	2.30	64.00	6.60			14.30	3984.00	2.70	64.20	6.56			14.60	3857.00	2.60	62.30	6.71			14.50	4310.00	2.90	61.70	6.24			40.00								
106	"NB-200"	2/14/2015 0:00:00	"4"	"1"	"Ebbing"		"2: 4-6.99"	15.30	7127.00	4.90	57.20	5.57			14.80	9641.00	6.90	59.70	5.78			15.30	7096.00	4.90	60.40	5.93			15.20	10261.00	7.30	64.30	6.17			32.00								
107	"NB-220"	2/14/2015 0:00:00	"4"	"1"			"3: 7-9.99"	17.80	9165.00	6.00	53.70	4.92			15.70	13707.00	9.70	64.00	5.99			16.10	10100.00	7.00	58.40	5.53			15.40	11575.00	8.20	66.40	6.32			45.00								
110	"NB-281"	2/14/2015 0:00:00	"4"	"1"	"Ebbing"		"4: >10"	16.70	13150.00	9.20	61.50	5.61			18.40	13760.00	9.20	71.90	6.35																	30.00						"Pond 5 outfall current rinpin'. Didn't move at all"		
111	"NB-283"	2/14/2015 0:00:00	"4"	"1"	"Ebbing"		"3: 7-9.99"	16.50	11953.00	8.20	62.40	5.61			17.20	13145.00	9.00	59.60	5.44			16.20	11645.00	8.10	73.10	6.66			17.30	12640.00	8.70	64.70	5.83			20.00						"Within 10' of Pond 7 water control pipes.  9.33 mg/L, 112.7 %Sat, 15747mS, 11.0 ppt, 17.1°C"		
112	"NB-285"	2/14/2015 0:00:00	"4"	"1"			"3: 7-9.99"	16.20	11645.00	8.10	62.00	5.60			17.30	17620.00	8.70	60.00	5.40			17.50	10375.00	6.90	60.90	5.80			18.30	11105.00	7.30	57.10	5.14			28.00								
115	"NB-500"	2/15/2015 0:00:00	"4"	"1"	"Flooding"		"1: 1-3.99"	14.30	3450.00	2.30	60.50	6.04										14.60	2863.00	1.90	65.20	6.35			14.70	2893.00	1.90	59.80	5.91			22.00								
117	"NB-530"	2/15/2015 0:00:00	"4"	"1"			"1: 1-3.99"	15.30	4905.00	3.30	58.10	5.69			15.00	5162.00	3.50	64.60	6.29			15.60	4508.00	3.00	63.00	6.08										26.00						"Caught dead spawned out YELGOB"		
118	"NB-590"	2/15/2015 0:00:00	"4"	"1"			"2: 4-6.99"	16.10	7032.00	4.70	64.90	6.18			15.90	7797.00	5.30	68.90	6.57			16.30	6891.00	4.60	65.20	6.18			17.60	9122.00	6.00	71.40	6.48			40.00								
119	"NB-630"	2/15/2015 0:00:00	"4"	"1"			"4: >10"	18.30	16505.00	11.30	69.30	6.10			16.90	17409.00	12.40	77.20	6.89																	30.00						"No 2nd waypoint (Didn't move). No upstream movement- no 2nd H20 qual measuremnt"		
120	"NB-772"	3/6/2015 0:00:00	"5"	"1"	"Flooding"		"2: 4-6.99"	14.50	7802.00	5.50	103.00	10.32										14.80	9543.00	6.90	101.20	10.11										31.00								
121	"NB-840"	3/6/2015 0:00:00	"5"	"1"			"4: >10"	15.30	18199.00	13.30	99.60	9.16			14.41	17935.00	13.60	102.10	9.80			15.60	17859.00	13.10	106.30	9.93			14.50	18292.00	13.90	107.40	10.20			41.00								
122	"NB-810"	3/6/2015 0:00:00	"5"	"1"			"4: >10"	15.10	15435.00	11.30	99.90	9.44			14.80	15661.00	11.80	101.90	9.65			15.00	14869.00	10.80	99.50	9.51			14.70	15575.00	11.60	101.80	9.75			26.00								
123	"NB-790"	3/6/2015 0:00:00	"5"	"1"			"4: >10"	14.90	13462.00	9.80	98.40	9.45			14.80	13747.00	10.10	98.00	9.64			14.90	12063.00	8.70	100.30	9.65			14.70	13359.00	9.80	103.00	10.07			31.00								
125	"NB-252"	3/5/2015 0:00:00	"5"	"1"			"3: 7-9.99"	16.40	12304.00	8.60	110.00	10.40										15.10	14701.00	10.80	113.00	10.80										40.00						"Fagan Slough, Cable Angle 35 then 19"		
126	"NB-210"	3/5/2015 0:00:00	"5"	"1"			"4: >10"	14.50	14235.00	10.60	105.00	10.20			14.60	14234.00	10.50	104.00	10.20			15.00	14823.00	10.90	108.00	10.30			14.90	14862.00	10.70	108.00	10.40			45.00								
127	"NB-190"	3/5/2015 0:00:00	"5"	"1"			"3: 7-9.99"	15.00	10742.00	7.70	104.00	10.10			14.70	11101.00	8.00	105.00	10.30			15.20	11562.00	8.30	105.00	10.50			14.70	11101.00	8.00	105.00	10.30			45.00						"WP290"		
128	"NB-180"	3/5/2015 0:00:00	"5"	"1"			"2: 4-6.99"	15.10	8015.00	5.60	103.00	10.10			14.90	9105.00	6.50	103.00	10.10			15.40	8913.00	6.20	106.00	10.30			15.00	9444.00	6.70	105.00	10.30			35.00								
129	"NB-150"	3/5/2015 0:00:00	"5"	"1"			"1: 1-3.99"	14.50	4939.00	3.40	106.00	10.70			14.40	5139.00	3.50	106.00	10.70			14.70	5178.00	3.50	106.00	10.70			14.70	5328.00	3.70	110.00	11.10			35.00								
130	"NB-140"	3/5/2015 0:00:00	"5"	"1"			"1: 1-3.99"	14.00	2629.00	1.80	109.00	11.30			14.00	2751.00	1.80	109.00	11.30			14.40	4025.00	2.70	116.00	11.90			14.50	4091.00	2.80	117.00	11.90			40.00								
131	"NB-120"	3/5/2015 0:00:00	"5"	"1"			"1: 1-3.99"	13.30	1368.00	0.90	107.00	11.30			13.80	2608.00	1.60	103.00	10.70			13.60	1836.00	1.30	107.00	11.20			14.00	2783.00	1.90	106.00	11.00			45.00								
132	"NB-110"	3/5/2015 0:00:00	"5"	"1"			"1: 1-3.99"	12.90	546.00	0.30	116.00	12.30			13.00	773.00	0.50	113.00	12.10			13.10	1077.00	0.70	111.40	11.20				1396.00	0.90	109.00	11.50			80.00						"split 110"		
133	"NB-630"	3/4/2015 0:00:00	"5"	"1"			"4: >10"	13.10	18293.00	14.40	11.20	10.80			11.90	18789.00	15.30	11.30	11.20			13.10	19257.00	15.20	11.30	10.90			12.20	19130.00	15.50	11.30	11.10			40.00						"OT in wrong direction"		
134	"NB-610"	3/4/2015 0:00:00	"5"	"1"			"4: >10"	14.00	16086.00	12.20	100.00	9.70			13.20	16299.00	12.70	102.00	9.90			12.60	17672.00	14.00	107.00	10.50										35.00								
135	"NB-600"	3/4/2015 0:00:00	"5"	"1"	"Flooding"		"3: 7-9.99"	14.40	10568.00	7.70	97.50	9.60			14.30	10834.00	7.90	98.30	9.70			14.60	12557.00	9.00	101.00	9.80			13.80	13190.00	9.90	104.00	10.20			22.00								
136	"NB-590"	3/4/2015 0:00:00	"5"	"1"	"Flooding"		"3: 7-9.99"	14.10	8625.00	6.20	98.00	9.70			14.50	8699.00	6.20	98.00	9.70			14.50	8939.00	6.40	98.00	9.70			14.20	8933.00	6.40	98.00	9.80			25.00								
137	"NB-570"	3/4/2015 0:00:00	"5"	"1"	"Flooding"		"3: 7-9.99"	14.10	9714.00	7.10	101.00	10.05										14.20	9058.00	6.50	110.30	11.00			14.20		6.50	108.00	10.70			20.00								
138	"NB-560"	3/4/2015 0:00:00	"5"	"1"	"Flooding"		"1: 1-3.99"	13.80	4801.00	3.30	94.50	9.70										14.00	6588.00	4.70	96.60	9.80										20.00								
139	"NB-530"	3/4/2015 0:00:00	"5"	"1"	"Flooding"		"1: 1-3.99"	13.20	5497.00	3.90	89.30	9.24			13.20	5499.00	3.90	90.00	9.31			13.60	4293.00	3.40	90.90	9.34										20.00								
140	"NB-510"	3/4/2015 0:00:00	"5"	"1"	"Flooding"		"2: 4-6.99"	12.00	5818.00	4.20	96.50	10.09										12.80	5573.00	4.00	91.10	9.49										24.00								
141	"NB-700"	3/6/2015 0:00:00	"5"	"1"			"1: 1-3.99"	13.50	3605.00	2.60	88.90	9.26										13.40	3959.00	2.80	88.80	9.25										30.00								
142	"NB-730"	3/6/2015 0:00:00	"5"	"1"			"1: 1-3.99"	13.90	5520.00	3.90	90.00	9.16			13.80	5633.00	4.10	91.50	9.33			14.10	6307.00	4.40	97.10	9.85			13.90	6348.00	4.50	97.10	9.95			36.00								
143	"NB-710"	3/6/2015 0:00:00	"5"	"1"			"1: 1-3.99"	13.40	4208.00	2.90	87.60	9.13										13.10	4262.00	3.00	94.10	9.86										36.00								
145	"SB-540"	3/7/2015 0:00:00	"5"	"1"	"Flooding"	"3.3"	"4: >10"	16.20	20480.00	15.60	113.10	10.20			15.50	23227.00	17.50	110.20	9.87			16.30	22091.00	16.30	106.00	9.41			16.10	23300.00	17.30	106.80	9.46			31.00								
146	"SB-150"	3/7/2015 0:00:00	"5"	"1"		"5.84"	"4: >10"	16.80	21060.00	15.30	126.80	11.22			16.60	4088.00	15.40	126.50	11.23			17.00	23510.00	17.10	117.00	10.21			16.60	22909.00	16.80	120.70	10.62			30.00						"No 2nd water qual. No progress down the slough."		
150	"SB-760"	3/7/2015 0:00:00	"5"	"1"		"6.8"	"4: >10"	17.10	20601.00	14.80	117.60	10.38										16.60	25680.00	19.00	115.10	9.98										20.00								
154	"SB-400"	3/8/2015 0:00:00	"5"	"1"		"1.56"	"1: 1-3.99"	20.60	4177.00	2.40	94.80	8.39										21.30	3013.00	1.70	99.70	8.75										70.00								
155	"SB-410"	3/8/2015 0:00:00	"5"	"1"		"1.49"	"3: 7-9.99"	19.90	9625.00	6.10	112.70	9.90										20.30	7770.00	4.80	109.90	9.65										49.00								
156	"SB-420"	3/8/2015 0:00:00	"5"	"1"		"1.59"	"3: 7-9.99"	19.30	9603.00	6.10	100.00	8.90										19.60	9743.00	6.20	105.10	9.30										36.00						"<9' no bottom H20 qual. SLS-upstream w/current."		
157	"SB-100"	3/8/2015 0:00:00	"5"	"1"		"2.53"	"2: 4-6.99"	15.80	7605.00	5.20	80.20	7.71										16.20	8743.00	6.00	84.80	8.04										30.00								
158	"SB-120"	3/8/2015 0:00:00	"5"	"1"		"4.12"	"3: 7-9.99"	17.90	12759.00	8.60	103.90	9.37										18.10	12749.00	8.60	98.70	8.86										30.00						"Jim opted out on bottom H2O qual."		
159	"SB-700"	3/8/2015 0:00:00	"5"	"1"		"5.34"	"4: >10"	18.30	14221.00	9.60	98.60	8.76										18.10	15572.00	10.70	103.60	9.19										32.00								
174	"SB-500"	3/7/2015 0:00:00	"5"	"1"	"Ebbing"	"1.6"	"4: >10"	15.80	18148.00	13.30	109.30	9.68										16.10	17776.00	12.90	110.20	10.30										34.00								
180	"NB-780"	3/6/2015 0:00:00	"5"	"1"			"3: 7-9.99"	14.90	10293.00	7.30	103.90	10.19										14.80	12063.00	8.70	102.50	10.00										25.00								
181	"SB-540"	2/21/2015 0:00:00	"4"	"1"		"1.5"	"4: >10"	16.70	17423.00	14.00	120.00	10.70			16.30	20787.00	15.20	109.00	9.80			16.50	23272.00	17.10	73.00	16.50			16.30	23524.00	17.40	44.00	16.50			30.00						"Only 5 minutes spent on trawl-hit a snag."		
182	"SB-210"	2/21/2015 0:00:00	"4"	"1"	"Flooding"	"4.11"	"4: >10"	16.10	27046.00	20.40	77.00	6.70			16.00	27319.00	20.70	77.00	6.80			16.00	27498.00	20.80	77.00	6.80			16.00	27889.00	21.20	79.00	6.90			18.00						"SLS sample jar label Coy 4 got changed to Coy 5; trawled @ slow speed"		
183	"SB-150"	2/21/2015 0:00:00	"4"	"1"	"Flooding"	"6.07"	"4: >10"	16.70	23085.00	16.90	83.00	7.30			16.90	22892.00	16.70	82.00	7.20			17.60	23745.00	17.10	73.00	6.30			17.50	23737.00	17.10	96.00	6.60			22.00								
184	"SB-730"	2/21/2015 0:00:00	"4"	"1"	"Flooding"	"7.49"	"4: >10"	16.90	24169.00	17.70	82.00	7.20																								23.00						"1.9 mph"		
