"ID"	"OldRecord."	"Survey"	"Method"	"TideText"	"TideHeight"	"Polygon/Station"	"Lat"	"Long"	"Date"	"Time"	"Replicate"	"Rep/Month"	"BegSurfTemp"	"BegBotTemp"	"EndSurfTemp"	"EndBotTemp"	"BegSurfSalin"	"BegBotSalin"	"EndSurfSalin"	"EndBotSalin"	"BegSurfCond"	"BegBotCond"	"EndSurfCond"	"EndBotCond"	"BegSecchi"	"EndSecchi"	"BegSurfDO(mg/L)"	"BegBotDO(mg/L)"	"EndSurfDO(mg/L)"	"EndBotDO(mg/L)"	"BegSurfDO%"	"BegBotDO%"	"EndSurfDO%"	"EndBotDO%"	"BegNTU"	"EndNTU"	"BegPH"	"EndPH"	"Depth"	"TowDuration"	"TowDistance"	"Flowmeter Start"	"Flowmeter Stop"	"Comments"	"DataEntry"	"FlowMeterDifference"	"SampledVolume"	"QC"
11.00	11.00	7.00	"LOT"	"Flood"		"STE 2"			7/24/2010 0:00:00	7/24/2010 10:33:00	1.00	1.00	20.30				28.20				40510.00				26.00		4.50				59.00								3.41	5.00								
12.00	12.00	7.00	"LOT"	"Flood"		"STE 3"			7/24/2010 0:00:00	7/24/2010 11:00:00	1.00	1.00	20.60				28.40				40870.00				25.00		4.50				65.00								4.92	5.00								
13.00	13.00	7.00	"LOT"	"Ebb"		"STE 1"			7/24/2010 0:00:00	7/24/2010 17:05:00	1.00	1.00	24.30				27.80				40250.00				39.00		6.48				90.60								6.29	5.00								
14.00	14.00	7.00	"LOT"	"Ebb"		"CORK 1"			7/24/2010 0:00:00	7/24/2010 17:47:00	1.00	1.00	22.00				28.20				41600.00				44.00		8.80				60.40									5.00								
15.00	15.00	8.00	"LOT"	"Flood"		"BAIR 1"			8/26/2010 0:00:00	8/26/2010 11:17:00	1.00	1.00	22.00				29.20				41860.00				55.00		5.91				80.10								50.52	10.00								
16.00	16.00	8.00	"LOT"	"Flood"		"CORK 1"			8/26/2010 0:00:00	8/26/2010 12:00:00	1.00	1.00	22.40				29.50				43240.00				60.00		6.00				79.70								9.84	5.00								
17.00	17.00	8.00	"LOT"	"High"		"STE 2"			8/26/2010 0:00:00	8/26/2010 13:15:00	1.00	1.00	21.90				29.70				43170.00				65.00		5.86				80.30									5.00								
18.00	18.00	8.00	"LOT"	"High"		"CORK 2"			8/26/2010 0:00:00	8/26/2010 12:45:00	1.00	1.00	22.60				29.90				43950.00				28.00		4.73				68.60									5.00								
19.00	19.00	8.00	"LOT"	"Ebb"		"STE 1"			8/26/2010 0:00:00	8/26/2010 16:00:00	1.00	1.00	22.30				29.60				43770.00				65.00		6.11				85.90									5.00								
20.00	20.00	8.00	"LOT"	"Ebb"		"STE 3"			8/26/2010 0:00:00	8/26/2010 13:40:00	1.00	1.00	21.90				29.70								65.00		5.90				80.40									5.00								
21.00	21.00	8.00	"LOT"	"Flood"	1.33	"ALV 1"			8/27/2010 0:00:00	12/30/1899 9:15:00	2.00	2.00	21.20				3.10				5480.00				19.00		4.90				57.00								3.28	5.00								
22.00	22.00	8.00	"LOT"	"Flood"	1.75	"ALV 1"			8/27/2010 0:00:00	12/30/1899 8:22:00	1.00	1.00	20.20				1.00				1675.00				20.00		5.55				64.80								2.62	5.00								
23.00	23.00	8.00	"LOT"	"Flood"	1.57	"ALV 3"			8/27/2010 0:00:00	12/30/1899 9:50:00	1.00	1.00	22.60				15.60				17660.00				40.00		3.00				35.00								5.57	5.00								
24.00	24.00	8.00	"LOT"	"Ebb"	7.98	"COY 2"			8/27/2010 0:00:00	12/30/1899 13:34:00	1.00	1.00	23.50				18.30				28390.00				30.00		3.85				50.00								0.00	10.00								
25.00	25.00	8.00	"LOT"	"Ebb"	7.18	"COY 3"			8/27/2010 0:00:00	12/30/1899 13:01:00	1.00	1.00	22.50				20.80				31200.00				24.00		4.27				56.00								13.12	10.00								
26.00	26.00	8.00	"LOT"	"Ebb"	8.73	"A21 2"			8/27/2010 0:00:00	12/30/1899 14:28:00	1.00	1.00	23.20				21.30				31810.00				12.00		4.30				57.00								0.00	5.45								
27.00	27.00	8.00	"LOT"	"Ebb"	8.54	"A21 1"			8/27/2010 0:00:00	12/30/1899 14:08:00	1.00	1.00	23.10				21.80				32160.00				12.00		4.20				55.00								0.00	5.50								
28.00	28.00	8.00	"LOT"	"Ebb"	8.79	"A21 3"			8/27/2010 0:00:00	12/30/1899 14:50:00	1.00	1.00	23.10				20.00				28360.00				25.00		4.46				59.10								0.00	5.50								
29.00	30.00	8.00	"LOT"	"Ebb"		"SF2 O"			8/28/2010 0:00:00	8/28/2010 9:00:00	1.00	1.00	21.00				28.30				40530.00				50.00		6.05				81.70									5.00								
30.00	31.00	8.00	"LOT"	"Low"	6.29	"BAIR 1"			8/28/2010 0:00:00	8/28/2010 8:45:00	1.00	1.00																												10.00								
31.00	33.00	10.00	"LOT"	"Flood"	6.31	"ART 2"			10/21/2010 0:00:00	12/30/1899 9:50:00	1.00	1.00	19.10				10.80				16300.00				42.00		4.23				49.50								8.59	5.00								
32.00	34.00	10.00	"LOT"	"Flood"	5.15	"ART 1"			10/21/2010 0:00:00	12/30/1899 9:10:00	1.00	1.00	22.50				6.60				7650.00				78.00		7.00				86.10								6.29	5.00								
33.00	35.00	10.00	"LOT"	"High"	9.03	"COY 1"			10/21/2010 0:00:00	12/30/1899 13:00:00	1.00	1.00	19.00				20.90				30360.00						4.54				56.50								14.30	10.00								
34.00	36.00	10.00	"LOT"	"Flood"	9.18	"A19 1"			10/21/2010 0:00:00	12/30/1899 12:03:00	1.00	1.00	18.50				18.70				26060.00				36.00		4.96				60.40								7.87	4.00								
35.00	37.00	10.00	"LOT"	"High"	9.03	"A19 3"			10/21/2010 0:00:00	12/30/1899 12:54:00	1.00	1.00	20.50				13.20				20300.00				48.00		5.30				67.30								7.34	5.00								
36.00	38.00	10.00	"LOT"	"Flood"	9.20	"A19 2"			10/21/2010 0:00:00	12/30/1899 12:30:00	1.00	1.00	19.20				17.60				26410.00				35.00		4.97				47.20								9.77	5.00								
37.00	43.00	10.00	"LOT"	"Ebb"	4.99	"CORK 1"			10/20/2010 0:00:00	10/20/2010 15:35:00	1.00	1.00	18.80				30.30				43100.00				44.00		6.63				85.70								7.41	5.00								
38.00	44.00	10.00	"LOT"	"Ebb"	1.70	"STE 1"			10/20/2010 0:00:00	10/20/2010 12:40:00	1.00	1.00	18.90				32.00				43000.00				108.00		5.00				65.90								5.18	5.00								
39.00	45.00	10.00	"LOT"	"Flood"	1.91	"CORK 2"			10/20/2010 0:00:00	10/20/2010 11:30:00	1.00	1.00	18.20				30.20				43000.00				68.00		5.84				75.30								5.70	5.00								
40.00	46.00	10.00	"LOT"	"High"	1.76	"STE 2"			10/20/2010 0:00:00	10/20/2010 11:50:00	1.00	1.00	17.50				30.50				43300.00				97.00		6.11				76.80								4.98	5.00								
41.00	47.00	10.00	"LOT"	"Ebb"	8.77	"A20"			10/21/2010 0:00:00	12/30/1899 13:15:00	1.00	1.00	19.00				17.30				24530.00				30.00		4.11				50.20								2.29	5.00								
42.00	48.00	10.00	"LOT"	"Flood"	8.40	"A20"			10/21/2010 0:00:00	12/30/1899 13:40:00	1.00	1.00	20.60				12.90				28290.00				50.00		4.56				60.40								4.26	5.00								
43.00	49.00	10.00	"LOT"	"Flood"	2.60	"OAL 2"			10/20/2010 0:00:00	10/20/2010 10:45:00	1.00	1.00	16.00				31.10				43090.00				60.00		6.22				74.80								7.34	5.00								
44.00	50.00	10.00	"LOT"	"High"	1.66	"STE 3"			10/20/2010 0:00:00	10/20/2010 12:15:00	1.00	1.00	17.60				30.50				43200.00				95.00		6.20				79.20								9.38	5.00								
45.00	51.00	10.00	"LOT"	"Flood"	3.05	"OAL 1"			10/20/2010 0:00:00	10/20/2010 10:20:00	1.00	1.00	15.80				31.20				44060.00				52.00		6.20				76.00								7.28	5.00								
46.00	52.00	10.00	"LOT"	"Low"	9.36	"A21 1"			10/22/2010 0:00:00	12/30/1899 13:00:00	1.00	1.00	18.40				19.30				28520.00				34.00		5.24				59.30								6.82	5.00								
47.00	53.00	10.00	"LOT"	"Ebb"	6.02	"BAIR 1"			10/20/2010 0:00:00	10/20/2010 16:17:00	1.00	1.00	18.60				30.20				42980.00				90.00		6.50				83.30								32.67	10.00								
48.00	54.00	10.00	"LOT"	"Flood"	9.38	"COY 2"			10/22/2010 0:00:00	12/30/1899 12:30:00	1.00	1.00	17.70				25.60				34370.00				35.00		6.06				75.00								10.62	10.00								
49.00	55.00	10.00	"LOT"	"Flood"	8.77	"UCOY 2"			10/22/2010 0:00:00	12/30/1899 11:40:00	1.00	1.00	18.70				13.10				20130.00				43.00		4.35				51.10								13.77	5.00								
50.00	56.00	10.00	"LOT"	"Ebb"	6.92	"COY 3"			10/22/2010 0:00:00	12/30/1899 15:00:00	1.00	1.00	17.90				25.30				34130.00				22.00		6.58				81.70								6.88	10.00								
51.00	57.00	10.00	"LOT"	"Flood"	3.54	"MEC 1"			10/20/2010 0:00:00	10/20/2010 9:55:00	1.00	1.00	15.80				30.50				43210.00				46.00		6.50				77.40								7.64	5.00								
52.00	58.00	10.00	"LOT"	"Flood"	2.78	"ALV 1"			10/22/2010 0:00:00	12/30/1899 7:30:00	1.00	1.00	16.80				0.90				1530.00				30.00		6.19				64.00								3.60	5.00								
53.00	59.00	10.00	"LOT"	"Flood"	3.75	"ALV 2"			10/22/2010 0:00:00	12/30/1899 8:25:00	1.00	1.00	16.40				5.60				7902.00				20.00		4.07				41.60								4.92	5.00								
54.00	60.00	10.00	"LOT"	"Flood"	4.37	"ALV 3"			10/22/2010 0:00:00	12/30/1899 9:00:00	1.00	1.00	17.60				18.10				24960.00				20.00		4.13				50.40								7.67	5.00								
55.00	61.00	12.00	"LOT"	""	6.29	"BAIR 1"			12/11/2010 0:00:00	12/11/2010 14:30:00	1.00	1.00	13.20				29.60				41900.00				109.00		7.38				85.20								35.23	10.00								
56.00	62.00	12.00	"LOT"	"Flood"	5.90	"CORK 1"			12/11/2010 0:00:00	12/11/2010 14:55:00	1.00	1.00	13.10				29.20				41400.00				78.00		7.25				84.70								9.51	5.00								
57.00	63.00	12.00	"LOT"	"Flood"	3.80	"ART 1"			12/9/2010 0:00:00	12/30/1899 9:50:00	1.00	1.00	19.40				5.00				12200.00				50.00		2.30				34.00								5.82	3.00								
58.00	64.00	12.00	"LOT"	"Flood"	7.10	"UCOY 2"			12/9/2010 0:00:00	12/30/1899 12:00:00	1.00	1.00	15.10				9.70				15200.00				30.00		4.91				52.50								11.94	5.00								
59.00	65.00	12.00	"LOT"	"Flood"	4.24	"ART 2"			12/9/2010 0:00:00	12/30/1899 10:10:00	1.00	1.00	17.20				6.10				9920.00				41.00		4.94				52.30								8.20	5.00								
60.00	66.00	12.00	"LOT"	"Ebb"	8.47	"A19 2"			12/9/2010 0:00:00	12/30/1899 15:30:00	1.00	1.00	13.90				16.60				21630.00				25.00		5.96				67.00								10.95	5.00								
61.00	67.00	12.00	"LOT"	"Flood"	4.74	"CORK 2"			12/11/2010 0:00:00	12/11/2010 16:03:00	1.00	1.00	14.10				28.80				40930.00				26.00		6.12				69.10								3.47	5.00								
62.00	68.00	12.00	"LOT"	"Flood"	4.34	"STE 1"			12/11/2010 0:00:00	12/11/2010 16:29:00	1.00	1.00	14.20				29.30				41570.00				83.00		8.36				97.70								3.47	5.00								
63.00	69.00	12.00	"LOT"	"High"	8.73	"A6"			12/10/2010 0:00:00	12/30/1899 15:15:00	1.00	1.00	14.10				22.80				33070.00				29.00		6.12				68.00								6.98	5.00								
64.00	70.00	12.00	"LOT"	"Flood"	8.60	"A21 4"			12/10/2010 0:00:00	12/30/1899 14:20:00	1.00	1.00	14.30				18.40				27320.00				22.00		5.45				60.50								6.82	5.00								
65.00	71.00	12.00	"LOT"	"Flood"	8.75	"A21 1"			12/10/2010 0:00:00	12/30/1899 14:40:00	1.00	1.00	13.90				18.90				28170.00				22.00		5.57				61.40								7.29	3.50								
66.00	72.00	12.00	"LOT"	"High"	8.35	"A20"			12/10/2010 0:00:00	12/30/1899 14:00:00	1.00	1.00	13.60				17.10				25410.00				37.00		5.61				59.90								5.90	5.00								
67.00	73.00	12.00	"LOT"	"Flood"	9.18	"COY 1"			12/9/2010 0:00:00	12/30/1899 13:30:00	1.00	1.00	13.10				19.10				28890.00				31.00		5.70				62.00								14.89	10.00								
68.00	74.00	12.00	"LOT"	"Ebb"	4.99	"ALV 1"			12/10/2010 0:00:00	12/30/1899 7:45:00	1.00	1.00	14.00				9.50				15160.00				29.00		5.46				55.50								8.77	5.00								
69.00	75.00	12.00	"LOT"	"Ebb"	4.04	"ALV 2"			12/10/2010 0:00:00	12/30/1899 8:30:00	1.00	1.00	13.80				10.30				17080.00				23.00		5.50				57.20								8.20	5.00								
70.00	76.00	12.00	"LOT"	"Flood"	7.81	"COY 2"			12/10/2010 0:00:00	12/30/1899 13:30:00	1.00	1.00	14.30				14.50				24620.00				30.00		5.69				61.70								10.30	5.00								
71.00	77.00	12.00	"LOT"	"Flood"	6.44	"COY 4"			12/10/2010 0:00:00	12/30/1899 12:30:00	1.00	1.00	13.20				24.80				35870.00				33.00		6.61				73.70								14.43	5.00								
72.00	78.00	12.00	"LOT"	"Ebb"	3.15	"ALV 3"			12/10/2010 0:00:00	12/30/1899 9:35:00	1.00	1.00	13.60				21.70				31730.00				13.00		6.37				70.40								7.67	5.00								
73.00	79.00	12.00	"LOT"	"Flood"	4.97	"MUD 1"			12/10/2010 0:00:00	12/30/1899 11:30:00	1.00	1.00	15.20				7.40				11690.00				23.00		4.39				44.60								10.36	5.00								
74.00	80.00	12.00	"LOT"	"Flood"	5.72	"COY 3"			12/10/2010 0:00:00	12/30/1899 12:00:00	1.00	1.00	13.90				18.60				27760.00				18.00		5.14				60.10								8.46	10.00								
75.00	81.00	12.00	"LOT"	"Ebb"	8.85	"A19 1"			12/9/2010 0:00:00	12/30/1899 15:10:00	1.00	1.00	15.20				12.40				19050.00				40.00		6.32				60.30								8.98	5.00								
76.00	82.00	12.00	"LOT"	"Ebb"	3.98	"STE 2"			12/11/2010 0:00:00	12/11/2010 16:48:00	1.00	1.00	14.10				29.30				41540.00				62.00		8.66				95.90								5.83	5.00								
77.00	83.00	12.00	"LOT"	"Flood"	7.20	"OAL 3"			12/10/2010 0:00:00	12/10/2010 12:00:00	1.00	1.00	14.20				26.10				37390.00						9.22				105.00								2.49	5.00								
78.00	84.00	2.00	"LOT"	"Flood"	8.73	"COY 3"			2/18/2011 0:00:00	12/30/1899 11:20:00	1.00	1.00	9.20				12.00				21014.00				10.00		8.75				83.00								10.06	10.00								
79.00	85.00	2.00	"LOT"	"Flood"	8.72	"UCOY 1"			2/18/2011 0:00:00	12/30/1899 14:20:00	1.00	1.00	9.80				0.00				51.00				11.00		10.60				93.30								11.88	5.00								
80.00	86.00	2.00	"LOT"	"Flood"	9.35	"A19 3"			2/18/2011 0:00:00	12/30/1899 11:40:00	1.00	1.00	10.67				3.20				5540.00				24.00		7.50				69.00								10.00	5.00								
81.00	87.00	2.00	"LOT"	"Flood"	9.06	"A19 2"			2/18/2011 0:00:00	12/30/1899 11:30:00	1.00	1.00	10.20				4.90				7940.00				19.00		7.50				68.60								8.32	5.00								
82.00	88.00	2.00	"LOT"	"Flood"	10.29	"ART 1"			2/18/2011 0:00:00	12/30/1899 12:37:00	1.00	1.00	16.50				3.20				5330.00				35.00		6.40				69.00								5.60	5.00								
83.00	89.00	2.00	"LOT"	"Ebb"	4.07	"ART 2"			2/18/2011 0:00:00	12/30/1899 9:15:00	1.00	1.00	11.80				2.20				2843.00				19.00		6.72				63.50								8.04	5.00								
84.00	90.00	2.00	"LOT"	"Flood"	5.92	"UCOY 2"			2/18/2011 0:00:00	12/30/1899 10:05:00	1.00	1.00	11.33				2.00				3452.00				26.00		6.90				64.60								12.32	5.00								
85.00	91.00	2.00	"LOT"	"Flood"	6.76	"A19 1"			2/18/2011 0:00:00	12/30/1899 10:25:00	1.00	1.00	10.40				4.00				6190.00				16.00		7.06				63.90								6.56	5.00								
86.00	92.00	2.00	"LOT"	"Flood"	4.86	"CORK 2"			2/17/2011 0:00:00	2/17/2011 10:45:00	1.00	1.00	10.90				22.60				32720.00				53.00		7.35				77.00								5.44	5.00								
87.00	93.00	2.00	"LOT"	"Flood"	4.26	"IB 1"			2/17/2011 0:00:00	2/17/2011 11:10:00	1.00	1.00	11.20				24.20				33330.00				43.00		8.02				84.40								8.74	5.00								
88.00	94.00	2.00	"LOT"	"High"	3.53	"STE 3"			2/17/2011 0:00:00	2/17/2011 11:40:00	1.00	1.00	10.50				22.30				34300.00				58.00		8.20				85.60								9.40	5.00								
89.00	95.00	2.00	"LOT"	""	3.96	"IB 2"			2/17/2011 0:00:00	2/17/2011 11:20:00	1.00	1.00	10.70				23.60				33750.00				43.00		7.96				83.10								4.73	5.00								
90.00	96.00	2.00	"LOT"	""	5.75	"CORK 1"			2/17/2011 0:00:00	2/17/2011 10:08:00	1.00	1.00	11.40				23.90				34450.00				39.00		8.09				85.60								11.40	5.00								
91.00	97.00	2.00	"LOT"	""	7.09	"BAIR 1"			2/17/2011 0:00:00	2/17/2011 9:00:00	1.00	1.00	11.40				23.90				34450.00				34.00		8.00				85.00								33.00	5.00								
92.00	98.00	2.00	"LOT"	"Flood"	3.17	"ALV 2"			2/19/2011 0:00:00	12/30/1899 9:50:00	1.00	1.00	9.30				0.02				3712.00				17.00		8.34				73.60								7.74	5.00								
93.00	99.00	2.00	"LOT"	"High"	3.01	"STE 2"			2/17/2011 0:00:00	2/17/2011 12:00:00	1.00	1.00	10.50				22.30				32300.00				58.00		8.11				86.00								5.74	5.00								
94.00	100.00	2.00	"LOT"	"Flood"	10.14	"A20"			2/18/2011 0:00:00	12/30/1899 12:15:00	1.00	1.00	10.10				4.60				8000.00				29.00		7.25				67.30								5.38	5.00								
95.00	101.00	2.00	"LOT"	"Flood"	8.00	"COY 1"			2/18/2011 0:00:00	12/30/1899 11:00:00	1.00	1.00	10.10				17.00				25200.00				26.00		7.52				73.80								11.32	5.00								
96.00	102.00	2.00	"LOT"	"Flood"	2.17	"ALV 1"			2/19/2011 0:00:00	12/30/1899 9:03:00	1.00	1.00	9.00				0.10				1315.00				22.00		9.33				80.30								5.96	5.00								
97.00	103.00	2.00	"LOT"	"Ebb"	7.31	"ALV 3"			2/18/2011 0:00:00	12/30/1899 15:00:00	1.00	1.00	9.00				3.80				6350.00				21.00		8.77				84.00								7.18	5.00								
98.00	104.00	5.00	"LOT"	"Flood"	3.87	"ART 2"			5/5/2011 0:00:00	12/30/1899 12:55:00	1.00	1.00	22.10				4.20				7020.00				23.00		3.99				50.60								5.98	5.00								
99.00	105.00	5.00	"LOT"	"Flood"	1.20	"UCOY 2"			5/5/2011 0:00:00	12/30/1899 11:20:00	1.00	1.00	20.80				3.50				6020.00				24.00		5.19				59.00								7.72	5.00								
100.00	106.00	5.00	"LOT"	"Flood"	3.21	"ART 1"			5/5/2011 0:00:00	12/30/1899 12:37:00	1.00	1.00	23.80				2.60				4588.00				69.00		8.01				95.80								5.42	5.00								
101.00	107.00	5.00	"LOT"	"Flood"	2.08	"UCOY 1"			5/5/2011 0:00:00	12/30/1899 12:00:00	1.00	1.00	19.70				1.40				2451.00				25.00		6.01				64.50								0.00	5.00								
102.00	108.00	5.00	"LOT"	"Flood"	6.50	"UCOY 2"			5/5/2011 0:00:00	12/30/1899 14:30:00	1.00	1.00	21.70				5.20				8000.00				20.00		4.76				56.30								10.26	5.00								
103.00	109.00	5.00	"LOT"	"Flood"	5.50	"COY 1"			5/5/2011 0:00:00	12/30/1899 13:42:00	1.00	1.00	21.20				6.50				10550.00				22.00		4.84				56.10								8.78	5.00								
104.00	110.00	5.00	"LOT"	"Flood"	5.79	"COY 1"			5/5/2011 0:00:00	12/30/1899 14:00:00	2.00	2.00	21.00				8.00				12700.00				22.00		4.98				57.00								10.44	5.00								
105.00	111.00	5.00	"LOT"	"Flood"	7.22	"A21 1"			5/5/2011 0:00:00	12/30/1899 15:40:00	1.00	1.00	21.20				8.80				14000.00				20.00		5.15				65.00								4.94	5.00								
106.00	112.00	5.00	"LOT"	"Flood"	6.95	"UCOY 1"			5/5/2011 0:00:00	12/30/1899 14:51:00	1.00	1.00	22.00				3.90				6570.00				27.00		4.80				56.00								7.56	5.00								
107.00	113.00	5.00	"LOT"	"High"	6.99	"A19 2"			5/5/2011 0:00:00	12/30/1899 16:53:00	1.00	1.00	22.10				7.80				12720.00				23.00		5.14				66.80								7.82	5.00								
108.00	114.00	5.00	"LOT"	"High"	7.23	"A19 1"			5/5/2011 0:00:00	12/30/1899 16:10:00	1.00	1.00	21.00				8.90				14270.00				24.00		4.97				57.20								7.86	5.00								
109.00	115.00	5.00	"LOT"	"Ebb"	6.71	"COY 1"			5/5/2011 0:00:00	12/30/1899 17:24:00	1.00	3.00	21.70				7.70				12300.00				23.00		4.71				55.00								11.06	5.00								
110.00	116.00	5.00	"LOT"	"Ebb"	6.49	"COY 1"			5/5/2011 0:00:00	12/30/1899 17:50:00	2.00	4.00	22.50				8.10				13020.00				24.00		5.54				67.20								10.18	5.00								
111.00	117.00	5.00	"LOT"	"Ebb"	5.98	"ALV 1"			5/5/2011 0:00:00	12/30/1899 18:30:00	1.00	1.00	20.90				3.40				6360.00				32.00		5.35				61.00								9.84	5.00								
112.00	118.00	5.00	"LOT"	"Ebb"	6.74	"ALV 3"			5/6/2011 0:00:00	12/30/1899 18:21:00	1.00	1.00	20.10				11.70				18220.00				18.00		5.86				70.90								8.37	5.00								
113.00	119.00	5.00	"LOT"	"Low"	0.36	"ALV 2"			5/6/2011 0:00:00	12/30/1899 9:20:00	1.00	1.00	20.00				0.70				1261.00				15.00		5.70				63.20								2.62	5.00								
114.00	120.00	5.00	"LOT"	"Low"	0.36	"ALV 1"			5/6/2011 0:00:00	12/30/1899 9:20:00	1.00	1.00	19.30				0.60				1137.00				24.00		6.00				67.00								6.50	5.00								
115.00	121.00	5.00	"LOT"	"Flood"	1.58	"COY 2"			5/6/2011 0:00:00	12/30/1899 12:20:00	1.00	1.00	21.20				5.40				9020.00				22.00		4.10				48.00								6.74	5.00								
116.00	122.00	5.00	"LOT"	"Flood"	-0.01	"ALV 3"			5/6/2011 0:00:00	12/30/1899 11:00:00	1.00	1.00	20.80				7.90				12740.00				12.00		5.10				69.80								4.84	5.00								
117.00	123.00	5.00	"LOT"	"Flood"	4.66	"COY 4"			5/6/2011 0:00:00	12/30/1899 14:00:00	2.00	2.00	19.80				11.90				18400.00				15.00		5.63				65.90								14.58	5.00								
118.00	124.00	5.00	"LOT"	"Flood"	2.68	"COY 3"			5/6/2011 0:00:00	12/30/1899 13:00:00	1.00	1.00	20.30				9.30				14660.00				19.00		4.50				52.10								8.48	5.00								
119.00	125.00	5.00	"LOT"	"High"	7.36	"A21 4"			5/6/2011 0:00:00	12/30/1899 16:00:00	1.00	1.00	21.00				9.60				15400.00				18.00		6.08				70.60								5.46	5.00								
120.00	126.00	5.00	"LOT"	"Flood"	4.31	"COY 4"			5/6/2011 0:00:00	12/30/1899 13:50:00	1.00	1.00	19.30				14.00				21240.00				5.00		5.99				70.20								10.67	5.00								
121.00	127.00	5.00	"LOT"	"Ebb"	7.39	"A21 2"			5/6/2011 0:00:00	12/30/1899 17:27:00	1.00	1.00	20.30				11.00				17130.00				31.00		5.14				63.50								6.40	5.00								
122.00	128.00	5.00	"LOT"	"Ebb"	6.67	"A21 1"			5/6/2011 0:00:00	12/30/1899 15:05:00	1.00	1.00	20.30				11.20				17150.00				17.00		5.25				58.40								6.76	5.00								
123.00	129.00	5.00	"LOT"	"Ebb"	6.20	"COY 2"			5/6/2011 0:00:00	12/30/1899 14:50:00	1.00	2.00	20.70				9.10				14330.00				12.00		4.86				56.40								11.16	5.00								
124.00	130.00	5.00	"LOT"	"Flood"	6.86	"COY 2"			5/6/2011 0:00:00	12/30/1899 15:17:00	2.00	3.00	20.70				9.20				14770.00				12.00		4.67				56.00								12.56	5.00								
125.00	131.00	5.00	"LOT"	"Flood"	1.81	"CORK 1"			5/7/2011 0:00:00	5/7/2011 14:30:00	1.00	1.00	17.70				17.10				25670.00				47.00		7.30				86.30								7.92	5.00								
126.00	132.00	5.00	"LOT"	""	3.96	"RED 1"			5/7/2011 0:00:00	5/7/2011 13:20:00	1.00	1.00	17.80				17.50				26100.00						7.53				88.10								33.95	5.00								
127.00	133.00	5.00	"LOT"	"Flood"	-0.32	"CORK 2"			5/7/2011 0:00:00	5/7/2011 16:30:00	1.00	1.00	18.70				17.10				26440.00				51.00		7.61				90.90								2.70	5.00								
128.00	134.00	5.00	"LOT"	"Flood"	-0.40	"STE 2"			5/7/2011 0:00:00	5/7/2011 17:40:00	1.00	1.00	19.00				19.00				28330.00				44.00		7.72				93.80								3.20	5.00								
