ID	OldRecord.	Survey	Method	TideText	TideHeight	Polygon/Station	Date	Time	Replicate	Rep/Month	BegSurfTemp	BegBotTemp	EndSurfTemp	EndBotTemp	BegSurfSalin	BegBotSalin	EndSurfSalin	EndBotSalin	BegSurfCond	BegBotCond	EndSurfCond	EndBotCond	BegSecchi	EndSecchi	BegSurfDO(mg/L)	BegBotDO(mg/L)	EndSurfDO(mg/L)	EndBotDO(mg/L)	BegSurfDO%	BegBotDO%	EndSurfDO%	EndBotDO%	BegNTU	EndNTU	BegPH	EndPH	Depth	TowDuration	TowDistance	Flowmeter Start	Flowmeter Stop	Comments	DataEntry	FlowMeterDifference	SampledVolume	AMESHA	AMPHIPOD	AMPHPD	ARRGOB	ASIMUS	BARSUR	BATRAY	BAYGOB	BAYPIP	BLUEGI	BONSCU	BROROC	BROSMO	CALHAL	CALLIA	CALTON	CANTEN	CGRACI	CHAGOB	CHEGOB	CHISAL	CJORDA	CMAENA	CMAGIS	CORBIC	CORBUL	CPRODU	CRANFR	CRANNC	CRANNM	CRANSP	DECORC	DIATUR	DWAPER	ENGSOL	EXOPAL	HEMIGR	HEPTSTI	HETERO	HOREGO	IOBSOL	ISOPOD	JACKSM	JELLYF	LAMSPP	LEOSHA	LONMUD	LONSME	LSTYLI	MACOMA	MCALIF	MISSIL	MSENHO	MUSBLE	MUSCUL	MUSSEN	MYSID	MYSIDR	MYTILS	NO CATCH	NORANC	NUDIBR	OLURID	PACHER	PACLAM	PACMAC	PACSAN	PACSSC	PALAEM	PHILIN	PILEWR	PILPER	PLAMID	POLYCH	PPRODU	PRISCU	RAIKIL	RHARRI	RIDGEM	RUBSEA	SACSUC	SADGUN	SANSOL	SANSPP	SHIGOB	SHIPER	SHOGOB	SHOGUI	SHOSNA	SNAILS	SPESAN	SPLITT	SPONGE	STAFLO	STRBAS	STRMUL	TAPJAP	THRSHA	THRSTI	TOPSME	TULPER	TUNICA	UCINER	UNID Clam	UNID CRAB	UNID GOBY	UNID LARVAL	UNID NUD	WALSUR	WESMOS	WHICRO	WHISEA	WHISTU	YELGOB	YELSEE
62		2	SLS			NB-540	1/26/2015	12/30/1899 9:42:00		1	10.3	NA	10.4	NA	5.1	NA	4.4	NA	6551	NA	5767	NA	20	NA	7.24	NA	NA	NA	66.6	NA	NA	NA	NA	NA	NA	NA	7.5	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			42			NA	NA					NA			444	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			52	
63		2	SLS			NB-289	1/26/2015	12/30/1899 10:16:00		1	10.4	NA	10.7	NA	9.9	NA	10.3	NA	12163	NA	12660	NA	25	NA	6.88	NA	NA	NA	65.7	NA	NA	NA	NA	NA	NA	NA	7.33	10											NA			NA		NA					NA		NA				NA																							NA				4	NA				NA								NA	NA			1344			NA	NA					NA			952	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			528	
64		2	SLS			NB-287	1/26/2015	12/30/1899 10:32:00		1	10.8	NA	NA	NA	10.5	NA	NA	NA	12910	NA	NA	NA	32	NA	7.13	NA	NA	NA	68.6	NA	NA	NA	NA	NA	NA	NA	7.16	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			968			NA	4					NA			84	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			424	
65		2	SLS			NB-285	1/26/2015	12/30/1899 10:55:00		1	11.1	NA	NA	NA	14.3	NA	NA	NA	17354	NA	NA	NA	25	NA	7.02	NA	NA	NA	69.6	NA	NA	NA	NA	NA	NA	NA	19.4	10											NA			NA		NA					NA		NA				NA																							NA				1	NA				NA								NA	2			153			NA	1					NA			6	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			82	
66		2	SLS			NB-252	1/26/2015	12/30/1899 11:40:00		1	11.3	NA	NA	NA	13.2	NA	NA	NA	16207	NA	NA	NA	35	NA	7.1	NA	NA	NA	70.2	NA	NA	NA	NA	NA	NA	NA	9	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				1								NA	5			534			NA	NA					NA			23	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			68	
67		2	SLS			NB-220	1/26/2015	12/30/1899 11:59:00		1	11.8	NA	NA	NA	10.1	NA	9.8	NA	12833	NA	123477	NA	35	NA	7.11	NA	NA	NA	69.9	NA	NA	NA	NA	NA	NA	NA	14.2	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	1			839			NA	NA					NA			30	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			47	
69		3	SLS			NB-100	2/4/2015	12/30/1899 8:06:00		1	12	11.6	12.2	11.6	1.6	2	2.2	2.4	2254	2823	3151	3302	70	NA	8.97	8.12	8.8	7.8	83.9	76.1	82.6	72.5	NA	NA	NA	NA	10.4	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			39			NA	NA					NA			222	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			NA	
70		3	SLS			NB-120	2/4/2015	12/30/1899 9:04:00		1	12.3	12.1	12.6	12.9	4.4	5.4	5.1	6.3	5997	7254	6828	8439	65	NA	8.06	7.5	7.83	7.68	77.4	72	70.7	70.3	NA	NA	NA	NA	12.4	10											NA			NA		NA					NA		NA				NA																							NA				2	2				NA								NA	NA			639			NA	NA					NA			190	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			28	
71		3	SLS			NB-140	2/4/2015	12/30/1899 9:43:00		1	12.9	13.1	13.5	14.1	6	6.5	6.7	7.4	8149	8728	9103	10175	60	NA	8.1	7.5	8.5	7.3	79	74	83.4	74	NA	NA	NA	NA	14.25	10											NA			NA		NA					NA		NA				NA																							NA				2	1				NA								NA	NA			512			NA	NA					NA			135	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			13	
72		3	SLS			NB-170	2/4/2015	12/30/1899 10:30:00		1	13.8	13.8	13.8	13.9	9	9.1	9.1	9.5	12020	12210	12236	12713	48	NA	7.5	7.2	7.1	7.4	76	76	74	73	NA	NA	NA	NA	21	10											NA			NA		NA					NA		NA				NA																							NA				NA	1				NA								NA	NA			351			NA	NA					NA			38	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			7	
75		3	SLS			NB-500	2/4/2015	12/30/1899 12:58:00		1	13.6	13.9	13.7	14	5.1	5.1	5.6	5.7	7065	7192	7733	7940	25	NA	7.5	6.7	8.6	NA	74	67	88	NA	NA	NA	NA	NA	6.6	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			720			NA	NA					NA			4192	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			272	
76		3	SLS			NB-520	2/4/2015	12/30/1899 13:58:00		1	14.3	14.3	14.1	14.1	6.8	7	7.2	7.5	9358	9637	9939	10366	30	NA	7.9	6.6	7.8	7.2	80	67	88	79	NA	NA	NA	NA	8.63	10											NA			NA		NA					NA		NA				NA																							NA				NA	1				NA								NA	NA			56			NA	NA					NA			107	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			101	
77		3	SLS			NB-530	2/4/2015	12/30/1899 14:35:00		1	13.6	13.5	13.5	13.6	9.3	9.1	9.1	9.1	12372	12127	12127	12126	40	NA	7.6	7.7	7.7	NA	76	77	76	NA	NA	NA	NA	NA	12.35	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			76			NA	NA					NA			124	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			153	
78		3	SLS			NB-560	2/4/2015	12/30/1899 15:15:00		1	13.5	13.7	13.5	13.9	9.4	NA	9.2	9.2	1245	NA	12208	NA	30	NA	7.5	NA	7.8	NA	77	NA	80	NA	NA	NA	NA	NA	13.9	10											NA			NA		NA					NA		NA				NA																							NA				NA	2				NA								NA	NA			2876			NA	NA					NA			144	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			168	
79		3	SLS			NB-700	2/5/2015	12/30/1899 8:09:00		1	12.3	12.4	12.5	12.4	3.2	3.9	3.8	4.2	4499	5305	5197	5712	45	NA	8.6	7.4	8.5	7.6	82	71	81	73	NA	NA	NA	NA	7.8	10											NA			NA		NA					NA		NA				NA																							NA				NA	2				NA								NA	NA			127			NA	NA					NA			78	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			NA	
80		3	SLS			NB-720	2/5/2015	12/30/1899 8:54:00		1	12.6	12.5	12.6	12.3	4.6	4.5	4.7	4.7	6255	6185	6412	6406	45	NA	8.2	7.5	8.3	8.3	79	72	79	80	NA	NA	NA	NA	12.2	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			285			NA	NA					NA			9	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			5	
81		3	SLS			NB-760	2/5/2015	12/30/1899 9:43:00		1	12.9	12.9	13.1	13	6.1	6.2	6.5	6.6	8235	8346	8716	8814	40	NA	8.3	7.4	8.4	7.4	82	72	84	23	NA	NA	NA	NA	14.75	10											NA			NA		NA					NA		NA				NA																							NA				NA	1				NA								NA	NA			127			NA	NA					NA			4	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			7	
82		3	SLS			NB-780	2/5/2015	12/30/1899 10:26:00		1	13.4	13.6	13.4	13.5	8.4	8.9	8.8	9.2	11192	11804	11700	12189	45	NA	7.6	6.5	7.8	5.9	76	66	79	60	NA	NA	NA	NA	18.8	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			329			NA	NA					NA			3	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		1			25	
94		4	SLS			NB-720	2/13/2015	12/30/1899 7:42:00		1	13.5	13	13.2	13.1	0.4	0.8	0.8	0.8	708	782	1266	1242	20	NA	5.4	5.5	5.7	5.1	51	52	54	48.7	NA	NA	NA	NA	14.15	10											28			NA		NA					NA		NA				NA																							NA				NA	1				NA								NA	NA			3			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				2	NA									NA		NA			108	
95		4	SLS			NB-730	2/13/2015	12/30/1899 8:28:00		1	13.2	13.3	13.4	13.7	1.2	2.8	1.5	3.6	1734	4008	2162	5152	25	NA	55	52	57	55	47	49	54	54	NA	NA	NA	NA	14.2	10											NA			NA		NA					NA		NA				NA																							NA				NA	2				NA								NA	NA			63			NA	NA					NA			31	NA				NA				NA	NA	NA					NA		NA	NA				1	NA									NA		NA			395	
96		4	SLS			NB-780	2/13/2015	12/30/1899 9:25:00		1	13.6	13.4	13.9	14.3	3.9	3.9	4.5	7.1	5514	5463	6090	9856	20	NA	5.9	5.3	5.04	5.11	58	52	50	52	NA	NA	NA	NA	12.8	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			732			NA	NA					NA			8	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			216	
97		4	SLS			NB-850	2/13/2015	12/30/1899 10:15:00		1	14.4	14.5	14.9	15	6.8	9.4	9.5	8.8	9599	1284	13094	12079	25	NA	5.6	5.7	5.6	NA	57	59	59	NA	NA	NA	NA	NA	11.1	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			2944			7.99	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			88	
98		4	SLS			NB-1001	2/13/2015	12/30/1899 11:14:00		1	15.5	NA	15.6	NA	13.5	NA	13.5	NA	18334	NA	18302	NA	35	NA	5.7	NA	6.1	NA	62	NA	68	NA	NA	NA	NA	NA	4.4	10											NA			NA		NA					NA		NA				NA																							3				2	NA				NA								NA	NA			2485			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			789	
104		4	SLS	Flooding		NB-140	2/14/2015	12/30/1899 7:45:00		1	13.4	13.2	13.4	12.8	0.3	0.2	0.3	0.3	398.7	391	483	495	45	NA	7.53	7.72	6.88	7.2	70.4	72.5	66.2	68.6	NA	NA	NA	NA	18.15	10											673			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			4			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			16	
105		4	SLS	Flooding		NB-201	2/14/2015	12/30/1899 8:55:00		1	13.9	14.3	14.6	14.5	2.3	2.7	2.6	2.9	3456	3984	3857	4310	40	NA	6.6	6.56	6.71	6.24	64	64.2	62.3	61.7	NA	NA	NA	NA	13	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			9568			NA	NA					NA			128	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			256	
106		4	SLS	Ebbing		NB-200	2/14/2015	12/30/1899 10:00:00		1	15.3	14.8	15.3	15.2	4.9	6.9	4.9	7.3	7127	9641	7096	10261	32	NA	5.57	5.78	5.93	6.17	57.2	59.7	60.4	64.3	NA	NA	NA	NA	19	10											11			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			4188			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			169	
107		4	SLS			NB-220	2/14/2015	12/30/1899 11:01:00		1	17.8	15.7	16.1	15.4	6	9.7	7	8.2	9165	13707	10100	11575	45	NA	4.92	5.99	5.53	6.32	53.7	64	58.4	66.4	NA	NA	NA	NA	16	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			10144			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			128	
110		4	SLS	Ebbing		NB-281	2/14/2015	12/30/1899 13:00:00		1	16.7	18.4	NA	NA	9.2	9.2	NA	NA	13150	13760	NA	NA	30	NA	5.61	6.35	NA	NA	61.5	71.9	NA	NA	NA	NA	NA	NA	15	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			2736			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			256	
111		4	SLS	Ebbing		NB-283	2/14/2015	12/30/1899 13:20:00		1	16.5	17.2	16.2	17.3	8.2	9	8.1	8.7	11953	13145	11645	12640	20	NA	5.61	5.44	6.66	5.83	62.4	59.6	73.1	64.7	NA	NA	NA	NA	14	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			7840			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			928	
112		4	SLS			NB-285	2/14/2015	12/30/1899 13:44:00		1	16.2	17.3	17.5	18.3	8.1	8.7	6.9	7.3	11645	17620	10375	11105	28	NA	5.6	5.4	5.8	5.14	62	60	60.9	57.1	NA	NA	NA	NA	9.4	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			8672			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			1152	
115		4	SLS	Flooding		NB-500	2/15/2015	12/30/1899 8:06:00		1	14.3	NA	14.6	14.7	2.3	NA	1.9	1.9	3450	NA	2863	2893	22	NA	6.04	NA	6.35	5.91	60.5	NA	65.2	59.8	NA	NA	NA	NA	7.75	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			NA			NA	NA					NA			424	NA				NA				NA	NA	NA					NA		NA	NA				3	NA									NA		NA			66	
117		4	SLS			NB-530	2/15/2015	12/30/1899 9:30:00		1	15.3	15	15.6	NA	3.3	3.5	3	NA	4905	5162	4508	NA	26	NA	5.69	6.29	6.08	NA	58.1	64.6	63	NA	NA	NA	NA	NA	11.05	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			1263			NA	NA					NA			227	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			307	
118		4	SLS			NB-590	2/15/2015	12/30/1899 10:35:00		1	16.1	15.9	16.3	17.6	4.7	5.3	4.6	6	7032	7797	6891	9122	40	NA	6.18	6.57	6.18	6.48	64.9	68.9	65.2	71.4	NA	NA	NA	NA	16.25	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			9184			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			448	
119		4	SLS			NB-630	2/15/2015	12/30/1899 11:27:00		1	18.3	16.9	NA	NA	11.3	12.4	NA	NA	16505	17409	NA	NA	30	NA	6.1	6.89	NA	NA	69.3	77.2	NA	NA	NA	NA	NA	NA	11.8	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			112128			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			256	
121		5	SLS			NB-840	3/6/2015	12/30/1899 13:52:00		1	15.3	14.41	15.6	14.5	13.3	13.6	13.1	13.9	18199	17935	17859	18292	41	NA	9.16	9.8	9.93	10.2	99.6	102.1	106.3	107.4	NA	NA	NA	NA	10	10											NA			NA		NA					NA		NA				NA																							1				NA	NA				NA								NA	NA			11			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			224	
122		5	SLS			NB-810	3/6/2015	12/30/1899 13:13:00		1	15.1	14.8	15	14.7	11.3	11.8	10.8	11.6	15435	15661	14869	15575	26	NA	9.44	9.65	9.51	9.75	99.9	101.9	99.5	101.8	NA	NA	NA	NA	13.6	10											NA			NA		NA					NA		NA				NA																							1				NA	NA				NA								NA	NA			15			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			7	
123		5	SLS			NB-790	3/6/2015	12/30/1899 12:28:00		1	14.9	14.8	14.9	14.7	9.8	10.1	8.7	9.8	13462	13747	12063	13359	31	NA	9.45	9.64	9.65	10.07	98.4	98	100.3	103	NA	NA	NA	NA	15	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			6			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			15	
125		5	SLS			NB-252	3/5/2015	12/30/1899 13:44:00		1	16.4	NA	15.1	NA	8.6	NA	10.8	NA	12304	NA	14701	NA	40	NA	10.4	NA	10.8	NA	110	NA	113	NA	NA	NA	NA	NA	4.4	10											NA			NA		NA					NA		NA				NA																							NA				1	NA				NA								NA	NA			128			NA	NA					NA			14	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			13	
126		5	SLS			NB-210	3/5/2015	12/30/1899 13:02:00		1	14.5	14.6	15	14.9	10.6	10.5	10.9	10.7	14235	14234	14823	14862	45	NA	10.2	10.2	10.3	10.4	105	104	108	108	NA	NA	NA	NA	17.7	10											NA			NA		NA					NA		NA				NA																							NA				4	NA				NA								NA	NA			137			NA	NA					NA			3	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			19	
127		5	SLS			NB-190	3/5/2015	12/30/1899 11:45:00		1	15	14.7	15.2	14.7	7.7	8	8.3	8	10742	11101	11562	11101	45	NA	10.1	10.3	10.5	10.3	104	105	105	105	NA	NA	NA	NA	18.7	10											NA			NA		NA					NA		NA				NA																							NA				7	2				NA								NA	NA			108			NA	NA					NA			18	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			22	
