"ID"	"Date"	"Time"	"Replicate"	"TowDuration"	"Depth"	"Polygon.Station"	"Survey"	"TideText"	"TideHeight"	"BegSurfTemp"	"BegSurfCond"	"BegSurfSalin"	"BegSurfDO%"	"BegSurfDO(mg/L)"	"BegBotTemp"	"BegBotCond"	"BegBotSalin"	"BegBotDO%"	"BegBotDO(mg/L)"	"EndSurfTemp"	"EndSurfCond"	"EndSurfSalin"	"EndSurfDO%"	"EndSurfDO(mg/L)"	"EndBotTemp"	"EndBotCond"	"EndBotSalin"	"EndBotDO%"	"EndBotDO(mg/L)"	"BegSecchi"	"EndSecchi"	"BegNTU"	"EndNTU"	"BegPH"	"EndPH"	"Comments"	"Method"	"ARRGOB"	"BATRAY"	"BAYPIP"	"CALHAL"	"CALTON"	"CHEGOB"	"JACKSM"	"LONMUD"	"LONSME"	"MISSIL"	"NO CATCH"	"NORANC"	"PACHER"	"PACSAN"	"PACSSC"	"PLAMID"	"PRISCU"	"RAIKIL"	"SACSUC"	"SHIGOB"	"SHIPER"	"SHOGOB"	"SPLITT"	"STAFLO"	"STRBAS"	"THRSHA"	"THRSTI"	"TOPSME"	"UNID LARVAL"	"WALSUR"	"WHICRO"	"YELGOB"
"19"	34	"1/11/2015 0:00:00"	"12/30/1899 10:46:00"	1	10	7.1	"NB-271"	"1"	""	"2.53"	10.4	10341	8.3	74	7.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	NA	NA	NA	NA	NA	"20° angle on cable"	"SLS"	0	0	0	0	0	0	0	1	0	0	0	0	125	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66
"20"	35	"1/11/2015 0:00:00"	"12/30/1899 11:34:00"	1	10	16.3	"NB-283"	"1"	"Flooding"	"2.59"	10.7	10682	8.6	78	8.3	NA	NA	NA	NA	NA	10.6	10962	8.8	82	8.7	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	""	"SLS"	1	0	0	0	0	0	0	1	1	0	0	0	136	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202
"21"	36	"1/11/2015 0:00:00"	"12/30/1899 12:02:00"	1	10	8.12	"NB-283"	"1"	"Flooding"	"2.71"	11.1	11135	8.8	70.7	7.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
"22"	37	"1/11/2015 0:00:00"	"12/30/1899 13:30:00"	1	10	19.3	"NB-120"	"1"	"Flooding"	"3.46"	10.5	1034	0.5	90.4	9.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	NA	NA	NA	NA	NA	"Downstream of W. Imola Ave"	"SLS"	0	0	0	0	0	0	0	1	2	0	0	0	14	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
"23"	38	"1/22/2015 0:00:00"	"12/30/1899 8:52:00"	1	10	8.52	"NB-720"	"2"	""	""	10.9	3682	2.7	72.9	7.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
"24"	39	"1/22/2015 0:00:00"	"12/30/1899 10:25:00"	1	10	7.3	"NB-879"	"2"	""	""	10.9	1959	8.8	79	8.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	2	0	0	0	0	42	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
"25"	40	"1/22/2015 0:00:00"	"12/30/1899 11:17:00"	1	10	9	"NB-800"	"2"	""	""	12	9395	7.2	80.2	8.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	"Winch starting to go out"	"SLS"	0	0	0	0	0	0	0	0	4	0	0	0	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
"26"	41	"1/22/2015 0:00:00"	"12/30/1899 12:00:00"	1	10	14.8	"NB-750"	"2"	""	""	11.7	6925	5.2	70.9	7.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	1	2	0	0	0	336	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
"27"	42	"1/24/2015 0:00:00"	"12/30/1899 8:23:00"	1	10	5.86	"SB-500"	"2"	"Ebbing"	""	12.1	20398	16.6	105.7	10.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	"Sunny, warm.  Lots of shell debotage. Total volume of zoop = 1400ml.  700 went to formalyne.  Remainder was washed & preserved in 95% Etoh. Lots of sculpin larvae and at least 1 anchovie."	"SLS"	0	0	0	0	0	0	0	16	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7408
"28"	43	"1/24/2015 0:00:00"	"12/30/1899 9:22:00"	1	10	7.53	"SB-540"	"2"	""	""	12.2	24087	19.9	74.3	7.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	8	0	0	0	0	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768
"29"	46	"1/24/2015 0:00:00"	"12/30/1899 11:52:00"	1	10	6	"SB-150"	"2"	""	""	14.5	17558	13.2	96.2	9.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	NA	NA	NA	NA	NA	"Saved NORANC"	"SLS"	0	0	0	0	0	0	0	88	0	0	0	12	8	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	932
"30"	53	"1/25/2015 0:00:00"	"12/30/1899 9:02:00"	1	10	7.55	"SB-400"	"2"	""	""	19.7	2673	2.4	54	4.85	NA	NA	NA	NA	NA	NA	2934	1.6	59.3	5.39	NA	NA	NA	NA	NA	110	NA	NA	NA	NA	NA	"Super sunny, warm day. No breeze. Wp 1- 2.4 ppt, Wp 9- 1.6 ppt"	"SLS"	32	0	0	0	0	0	0	16	0	0	0	0	0	0	16	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1452
"31"	54	"1/25/2015 0:00:00"	"12/30/1899 9:33:00"	1	10	7.1	"SB-410"	"2"	"Ebbing"	""	18.1	9738	6.5	98	9.05	NA	NA	NA	NA	NA	NA	7643	4.9	103.2	9.69	NA	NA	NA	NA	NA	56	NA	NA	NA	NA	NA	"Zoop tow labelled ART-1-2 (4-6 ppt) but we are techincally @ART-2. Wp 7 ~4 ppt, Wp 8~6ppt.  Disected 2 AMSHAD, 2 THRSHA
all copepods, couple mysides in AMSHAD, no larval fish."	"SLS"	27	0	0	0	0	0	0	60	0	0	0	0	4	0	12	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1797
"32"	55	"1/25/2015 0:00:00"	"12/30/1899 10:27:00"	1	10	6.4	"SB-420"	"2"	""	""	16.9	11278	7.7	75.8	7.1	NA	NA	NA	NA	NA	17.1	11234	7.7	NA	NA	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	"Just post of A19 outfall"	"SLS"	24	0	0	0	0	0	0	36	0	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1268
"33"	58	"1/25/2015 0:00:00"	"12/30/1899 12:38:00"	1	10	4.13	"SB-120"	"2"	""	""	12.8	10972	8.3	75.2	7.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	10	0	0	0	0	1	0	1	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240
"34"	61	"1/26/2015 0:00:00"	"12/30/1899 9:18:00"	1	10	8.15	"NB-570"	"2"	""	""	10.4	9919	8	71.5	7.61	NA	NA	NA	NA	NA	10.7	9482	7.5	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	536	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
"35"	62	"1/26/2015 0:00:00"	"12/30/1899 9:42:00"	1	10	7.5	"NB-540"	"2"	""	""	10.3	6551	5.1	66.6	7.24	NA	NA	NA	NA	NA	10.4	5767	4.4	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
"36"	63	"1/26/2015 0:00:00"	"12/30/1899 10:16:00"	1	10	7.33	"NB-289"	"2"	""	""	10.4	12163	9.9	65.7	6.88	NA	NA	NA	NA	NA	10.7	12660	10.3	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	4	0	0	0	0	1344	0	0	0	952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	528
"37"	64	"1/26/2015 0:00:00"	"12/30/1899 10:32:00"	1	10	7.16	"NB-287"	"2"	""	""	10.8	12910	10.5	68.6	7.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	968	0	4	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424
"38"	65	"1/26/2015 0:00:00"	"12/30/1899 10:55:00"	1	10	19.4	"NB-285"	"2"	""	""	11.1	17354	14.3	69.6	7.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	"Didn't move much. YSI 28. Bulepond outfall"	"SLS"	0	0	0	0	0	0	0	1	0	0	0	2	153	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
"39"	66	"1/26/2015 0:00:00"	"12/30/1899 11:40:00"	1	10	9	"NB-252"	"2"	""	""	11.3	16207	13.2	70.2	7.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	1	0	5	534	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	8	0	0	68
"40"	67	"1/26/2015 0:00:00"	"12/30/1899 11:59:00"	1	10	14.2	"NB-220"	"2"	""	""	11.8	12833	10.1	69.9	7.11	NA	NA	NA	NA	NA	NA	123477	9.8	NA	NA	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	"Preserved LONSME in Etoh"	"SLS"	0	0	0	0	0	0	0	0	0	0	0	1	839	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
"41"	68	"1/26/2015 0:00:00"	"12/30/1899 12:21:00"	1	10	3.8	"NB-212"	"2"	""	""	10.9	12513	10.1	70.7	7.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	"Sample had tons of sediment. Subsampling. 2 jars."	"SLS"	0	0	0	0	0	0	0	0	0	1	0	0	56	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6
"42"	69	"2/4/2015 0:00:00"	"12/30/1899 8:06:00"	1	10	10.4	"NB-100"	"3"	""	""	12	2254	1.6	83.9	8.97	11.6	2823	2	76.1	8.12	12.2	3151	2.2	82.6	8.8	11.6	3302	2.4	72.5	7.8	70	NA	NA	NA	NA	NA	"Kennedy launch 6.1 ppt - 7:35 am. Waypoint 38 - 4.7 ppt. 6406 uS 12.3° 7:44 am. Across from marina housing units."	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"43"	70	"2/4/2015 0:00:00"	"12/30/1899 9:04:00"	1	10	12.4	"NB-120"	"3"	""	""	12.3	5997	4.4	77.4	8.06	12.1	7254	5.4	72	7.5	12.6	6828	5.1	70.7	7.83	12.9	8439	6.3	70.3	7.68	65	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	2	2	0	0	0	639	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
"44"	71	"2/4/2015 0:00:00"	"12/30/1899 9:43:00"	1	10	14.25	"NB-140"	"3"	""	""	12.9	8149	6	79	8.1	13.1	8728	6.5	74	7.5	13.5	9103	6.7	83.4	8.5	14.1	10175	7.4	74	7.3	60	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	2	1	0	0	0	512	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
"45"	72	"2/4/2015 0:00:00"	"12/30/1899 10:30:00"	1	10	21	"NB-170"	"3"	""	""	13.8	12020	9	76	7.5	13.8	12210	9.1	76	7.2	13.8	12236	9.1	74	7.1	13.9	12713	9.5	73	7.4	48	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	1	0	0	0	351	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
"46"	75	"2/4/2015 0:00:00"	"12/30/1899 12:58:00"	1	10	6.6	"NB-500"	"3"	""	""	13.6	7065	5.1	74	7.5	13.9	7192	5.1	67	6.7	13.7	7733	5.6	88	8.6	14	7940	5.7	NA	NA	25	NA	NA	NA	NA	NA	"*as far up Sonoma Creek as we can go"	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	720	0	0	0	4192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272
"47"	76	"2/4/2015 0:00:00"	"12/30/1899 13:58:00"	1	10	8.63	"NB-520"	"3"	""	""	14.3	9358	6.8	80	7.9	14.3	9637	7	67	6.6	14.1	9939	7.2	88	7.8	14.1	10366	7.5	79	7.2	30	NA	NA	NA	NA	NA	"End WQ"	"SLS"	0	0	0	0	0	0	0	0	1	0	0	0	56	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	10	0	0	101
"48"	77	"2/4/2015 0:00:00"	"12/30/1899 14:35:00"	1	10	12.35	"NB-530"	"3"	""	""	13.6	12372	9.3	76	7.6	13.5	12127	9.1	77	7.7	13.5	12127	9.1	76	7.7	13.6	12126	9.1	NA	NA	40	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153
"49"	78	"2/4/2015 0:00:00"	"12/30/1899 15:15:00"	1	10	13.9	"NB-560"	"3"	""	""	13.5	1245	9.4	77	7.5	13.7	NA	NA	NA	NA	13.5	12208	9.2	80	7.8	13.9	NA	9.2	NA	NA	30	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	2	0	0	0	2876	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168
"50"	79	"2/5/2015 0:00:00"	"12/30/1899 8:09:00"	1	10	7.8	"NB-700"	"3"	""	""	12.3	4499	3.2	82	8.6	12.4	5305	3.9	71	7.4	12.5	5197	3.8	81	8.5	12.4	5712	4.2	73	7.6	45	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	2	0	0	0	127	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"51"	80	"2/5/2015 0:00:00"	"12/30/1899 8:54:00"	1	10	12.2	"NB-720"	"3"	""	""	12.6	6255	4.6	79	8.2	12.5	6185	4.5	72	7.5	12.6	6412	4.7	79	8.3	12.3	6406	4.7	80	8.3	45	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
"52"	81	"2/5/2015 0:00:00"	"12/30/1899 9:43:00"	1	10	14.75	"NB-760"	"3"	""	""	12.9	8235	6.1	82	8.3	12.9	8346	6.2	72	7.4	13.1	8716	6.5	84	8.4	13	8814	6.6	23	7.4	40	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	1	0	0	0	127	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
"53"	82	"2/5/2015 0:00:00"	"12/30/1899 10:26:00"	1	10	18.8	"NB-780"	"3"	""	""	13.4	11192	8.4	76	7.6	13.6	11804	8.9	66	6.5	13.4	11700	8.8	79	7.8	13.5	12189	9.2	60	5.9	45	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25
"54"	85	"2/7/2015 0:00:00"	"12/30/1899 9:10:00"	1	10	5.2	"SB-400"	"3"	""	""	19.4	6437	4	63	5.7	18.1	12042	8	62	5.6	20.8	2311	1.3	64	5.7	19.1	2183	4.5	61	5.6	100	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33536
"55"	86	"2/7/2015 0:00:00"	"12/30/1899 10:00:00"	1	10	6.35	"SB-410"	"3"	""	""	19.1	7200	4.5	70	6.3	17.4	12014	8.1	64	6.3	18.5	9200	6	58	5.3	18.3	9422	6.2	59	5.4	45	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19488
"56"	87	"2/7/2015 0:00:00"	"12/30/1899 10:39:00"	1	10	9.8	"SB-420"	"3"	""	""	17.2	NA	3.6	50	4.8	17.5	10129	6.8	52	4.8	NA	NA	NA	54	5.9	17.3	11267	7.7	52	4.8	25	NA	NA	NA	NA	NA	"Influence of bay water"	"SLS"	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	31.97	0	0	0	0	0	0	0	0	0	0	0	15.98	0	0	2944
